                               words   count
0                           patients  555436
1                                  A  118370
2                                 CI  103596
3                           symptoms   91249
4                              cells   86323
5                           diseases   62917
6                              COVID   59862
7                          disorders   48014
8                           syndrome   47701
9                              virus   47427
10                                 P   46218
11                             tumor   44885
12                        infections   39105
13                     complications   35095
14                          Patients   34128
15                           protein   33642
16                                 B   33604
17                       vaccination   32202
18                           vaccine   31800
19                                 T   31149
20                        conditions   30219
21                             genes   29259
22                               HIV   29103
23                           SARSCoV   26159
24                           lesions   25633
25                                CD   25568
26                                 C   24302
27                              PCOS   24259
28                            tumors   23104
29                         hepatitis   22140
30                         carcinoma   21793
31                             drugs   21322
32                                IL   20044
33                               puu   19902
34                                CT   19735
35                          fibrosis   19431
36                              bone   19320
37                                 D   19311
38                         arthritis   19100
39                        antibodies   18989
40                        treatments   18404
41                               Puu   17449
42                          vaccines   16877
43                          proteins   16491
44                        recurrence   16258
45                                RA   16139
46                               DNA   15855
47                    manifestations   15488
48                      chemotherapy   15362
49                               ASD   14996
50                        prevention   14877
51                                AD   14856
52                           cancers   14819
53                               RNA   14550
54                                OS   14495
55                             bowel   14411
56                                PD   14155
57                        inhibitors   13999
58                        biomarkers   13690
59                                HR   13592
60                         therapies   13469
61                                 S   13464
62                           tissues   13429
63                           viruses   13251
64                               MRI   13234
65                          variants   13092
66                            agents   12888
67                               HCV   12851
68                              ADHD   12584
69                               HSV   12492
70                            biopsy   12484
71                         resection   12474
72                             andor   12454
73                         psoriasis   12394
74                               HCC   12160
75                               IBD   11559
76                            breast   11547
77                         mutations   11392
78                               SLE   11348
79                               HBV   11320
80                     comorbidities   11252
81                           xayears   11205
82                           insulin   11124
83                             NAFLD   11051
84                        tomography   11020
85                     proliferation   10852
86                        metastasis   10781
87                                US   10775
88                               PCR   10465
89                               IBS   10465
90                             pxaxa   10446
91                            PubMed   10283
92                       coronavirus   10247
93                               BMI   10211
94                               HPV   10211
95                             doses   10206
96                     endometriosis   10017
97                     abnormalities    9981
98                          Clinical    9821
99                             Pxaxa    9819
100                         problems    9765
101                          hormone    9751
102                               II    9749
103                          strains    9716
104                      adolescents    9597
105                        pathogens    9549
106                              IgG    9531
107                          infants    9494
108                           lesion    9444
109                       activities    9412
110                             neck    9393
111                         migraine    9299
112                          measles    9294
113                             PTSD    9271
114                       procedures    9234
115                        pneumonia    8844
116                                E    8832
117                       autoimmune    8797
118                         lymphoma    8772
119                            risks    8765
120                              PsA    8757
121                     Participants    8710
122                               ED    8585
123                                N    8509
124                      antibiotics    8459
125                            lymph    8433
126                               MD    8401
127                               SD    8390
128                         diarrhea    8380
129                                M    8363
130                          thyroid    8323
131                      medications    8262
