pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37832273,"The Impact of Depression, Anxiety and Personality Disorders on the Outcome of Patients with Functional Limb Weakness - Individual Patient Data Meta-Analysis.","OBJECTIVE: Psychiatric comorbidities such as depression, anxiety, and personality disorders are common in patients with functional limb weakness/paresis (FND-par). The impact of these conditions on the prognosis of FND-par has not been systematically reviewed. The aim of this study was to identify a potential prognostic effect of comorbid depression, anxiety, and/or personality disorder on prognosis in patients with FND-par.
METHODS: A systematic review was performed to identify studies that reported measures of baseline depression, anxiety, and/or personality disorder, and physical disability. An individual patient data meta-analysis was subsequently performed.
RESULTS: Eight studies comprising 348 individuals were included (7 prospective cohorts; 1 case-control study). There was heterogeneity in sample size, follow-up duration, and treatment modality. Depression and anxiety were present in 51.4% and 53.0% of FND-par patients, respectively. In individuals whose FND-par improved, there was no significant difference between those with versus without depression (52.6% vs 47.4%, p = 0.69) or those with versus without anxiety (50.3% vs 49.7%, p = 0.38). Meta-analysis showed no clear impact of baseline depression or anxiety per se [pooled OR for depression 0.85 (95%CI 0.50-1.45; p = 0.40) and anxiety 0.84 (95%CI 0.51-1.38; p = 0.91)]; and of depression or anxiety severity [pooled OR for depression 1.23 (95%CI 0.63-2.39; p = 0.91) and anxiety 1.40 (95%CI 0.70-2.78; p = 0.58)] on FND-par outcome. Insufficient data were available to assess the impact of personality disorders.
CONCLUSION: We found no evidence that depression or anxiety influenced outcome in FND-par. Large-scale, prospective studies in FND-par, and other FND subtypes, are needed to fully contextualize the impact of concurrent mental health concerns on outcomes.","['Calma AD', 'Heffernan J', 'Farrell N', 'Gelauff J', ""O'Connell N"", 'Perez DL', 'Perriman D', 'Smyth L', 'Stone J', 'Lueck CJ']",2023,175,,J Psychosom Res,"Calma AD, et al. The Impact of Depression, Anxiety and Personality Disorders on the Outcome of Patients with Functional Limb Weakness - Individual Patient Data Meta-Analysis. The Impact of Depression, Anxiety and Personality Disorders on the Outcome of Patients with Functional Limb Weakness - Individual Patient Data Meta-Analysis. 2023; 175:111513. doi: 10.1016/j.jpsychores.2023.111513",https://pubmed.ncbi.nlm.nih.gov/37832273/
37807866,Factitious disorder comorbid with borderline personality disorder and dysthymia: from medically unexplained physical symptoms to functional neurological disorder.,"INTRODUCTION: In this study, we introduce the concept of comorbidity between factitious disorder (FD), borderline personality disorder (BPD), dysthymia (DY), medically unexplained physical symptoms (MUPS) and functional neurological disorder (FND) characterising patients who may tend to exaggerate physical or psychiatric symptoms of presentation to a general or psychiatric hospital with a constellation of signs that do not receive confirmation from further clinical and instrumental assessments. The similarities between these syndromes and the constant presence of borderline personality in the psychopathology make it the possible link between all these syndromes.
MATERIALS AND METHODS: The authors captured the typical appearance and characterisation of FD-BPD-DY-MUPS-FND (Com-1) syndrome in adult and non-forensic acute psychiatric hospitals in the United Kingdom (UK) and adjacent liaison psychiatric teams through case vignettes. Each case vignette merged similar clinical cases and was cross-analysed using information from various mental health and medical professionals and bridging primary and secondary carers' records.
RESULTS: The findings suggest striking similarities between the syndromes making borderline personality the bridge pathology for FD, MUPS and FND. The complexity of the diagnosis of these cases is discussed in the study, together with prototypical presentations.
CONCLUSIONS: Improving the management of these often-occurring diseases requires multidisciplinary coordination across psychiatry, general care, neurology and surgery departments.","['Lazzari C', 'Shoka A', 'Rabottini M']",2023,58,5,Riv Psichiatr,"Lazzari C, et al. Factitious disorder comorbid with borderline personality disorder and dysthymia: from medically unexplained physical symptoms to functional neurological disorder. Factitious disorder comorbid with borderline personality disorder and dysthymia: from medically unexplained physical symptoms to functional neurological disorder. 2023; 58:205-219. doi: 10.1708/4113.41070",https://pubmed.ncbi.nlm.nih.gov/37807866/
37807390,B - 13 A Written Stutter: a Case Study of Functional Neurologic Disorder.,"OBJECTIVE: Functional neurologic disorder (FND) is a broad diagnostic construct that encompasses many heterogeneous conditions. The defining characteristic of FND is that the affected individual experiences symptoms for which there is no known biological mechanism. Often the symptoms are attributed to psychological factors. FND remains poorly understood, despite increased efforts to elucidate neural and neuropsychological correlates. To date, there have been only a few case studies published on acute onset of dysfluent writing that does not result in dysgraphia and is not associated with a major neurological event (i.e., stroke, or traumatic brain injury).
METHODS: A 17-year-old, right-handed, White, cis-gender boy was referred to an outpatient neuropsychology private practice with a complaint of acute onset and progressive dysfluent and effortful writing without dysgraphia. A comprehensive neuropsychological evaluation was undertaken, and the patient's mother served as a collateral informant.
RESULTS: Performance was grossly within normal limits with mild impairment in fine motor coordination. The patient evidenced a slowed, effortful writing style marked by initial hesitation followed by a smooth fluid motion. Clinical interview and measures of psychological functioning did not reveal any psychiatric conditions.
CONCLUSIONS: Parallels are drawn between this dysfluent writing style, which does not cause functional impairment, and a stutter. Neuroanatomical mechanisms are explored.","['Gramling L', ""O'Connell EI"", 'Peery S']",2023,,,Arch Clin Neuropsychol,"Gramling L, et al. B - 13 A Written Stutter: a Case Study of Functional Neurologic Disorder. B - 13 A Written Stutter: a Case Study of Functional Neurologic Disorder. 2023; (unknown volume):(unknown pages). doi: 10.1093/arclin/acad067.220",https://pubmed.ncbi.nlm.nih.gov/37807390/
37807211,A - 80 The Role of Adverse Childhood Events and Personality Traits Among Individuals with Functional Neurological Symptom Disorder (FND).,"OBJECTIVE: There is an established link between early life trauma and avoidant and anxious attachment in patients with FND.1,2,3 These attachment styles are linked to histrionic (HPD), avoidant (APD), borderline (BPD), and dependent personality disorders (DPD)0.5 The current study seeks to explore the relationship between adverse childhood experiences and personality characteristics among individuals diagnosed with FND.
METHODS: A retrospective analysis of patients diagnosed with FND who completed neuropsychological evaluation was conducted. The outcome measures include the Adverse Childhood Experiences Scale (ACES) and Minnesota Multiphasic Personality Inventory, 3rd Edition (MMPI-3). Composite scores for the ACES and BPD, HPD, APD, and DPD were obtained by calculating equally weighted sum of predetermined component scores on the MMPI-3 based on the DSM-5.6 Spearman correlations were calculated to determine the association between ACES and PD composites.
RESULTS: Analysis was conducted with 21 patients, 86% were female, 71% identified as white, and mean sample age was 41.59 years (SD = 12.48). 57.14% had elevated ACES score. Mean composite PD scores were BPD - 55.97 (SD = 7.58), HPD - 53.93 (SD = 9.17), APD - 59.26 (SD = 9.71), and DPD - 59.75 (SD = 10.80). The correlations were positive and statistically significant (p < =0.05) across all four PD for ACES Q1 (emotional abuse) and Q4 (unsupportive environment).
CONCLUSIONS: The results highlight that the ACES can be beneficial in identifying patients with FND who may have, or are at risk, of developing PD. These results also provide targets for treatment including maladaptive attachment styles.","['Carns D', 'Orr S', 'Jain R', 'Israel A', 'Rupert P']",2023,,,Arch Clin Neuropsychol,"Carns D, et al. A - 80 The Role of Adverse Childhood Events and Personality Traits Among Individuals with Functional Neurological Symptom Disorder (FND). A - 80 The Role of Adverse Childhood Events and Personality Traits Among Individuals with Functional Neurological Symptom Disorder (FND). 2023; (unknown volume):(unknown pages). doi: 10.1093/arclin/acad067.097",https://pubmed.ncbi.nlm.nih.gov/37807211/
37800641,Functional neurological disorder: A qualitative study exploring individuals' experiences of psychological services.,"OBJECTIVES: Individuals with a diagnosis of FND report experiencing stigma in medical settings, however, there is a paucity of research exploring their experiences in psychological services. The aim of this research was to explore experiences of accessing UK psychological services, from the perspective of those with FND.
METHODS: This study utilised a qualitative approach with data collected from semi-structured interviews (n = 15) and analysed using reflexive thematic analysis.
RESULTS: One superordinate theme, 'the stigmatised self within the therapeutic relationship', and five interrelated subthemes were identified: 'internalised stigma and self-doubt', 'selective disclosure to professionals', 'perceptions of psychological explanations', 'having to educate the professionals' and 'attunement and trust within the therapeutic relationship'. Positive therapeutic relationships were perceived to mitigate the impact of these perceived barriers. The conceptualisation of FND and the perception of how this was responded to by services and professionals was a central tenet throughout the related themes.
CONCLUSIONS: Intra-personal, interpersonal and organisational stigma impact access and engagement to psychological treatment. The findings of this study highlight the need for increased training provision for practitioners with a focus on actively challenging FND stigma within services at both an individual and systemic level.","['Staton A', 'Dawson D', 'Merdian H', 'Tickle A', 'Walker T']",2023,,,Psychol Psychother,"Staton A, et al. Functional neurological disorder: A qualitative study exploring individuals' experiences of psychological services. Functional neurological disorder: A qualitative study exploring individuals' experiences of psychological services. 2023; (unknown volume):(unknown pages). doi: 10.1111/papt.12504",https://pubmed.ncbi.nlm.nih.gov/37800641/
37794883,Myths and facts about functional neurological disorders: a cross-sectional study of knowledge and awareness among medical students and healthcare professionals in Iraq.,"BACKGROUND: Functional neurological disorder (FND) is a complex condition with neurological symptoms but no clear structural or biochemical explanation. Myths and misconceptions about FND can lead to misdiagnosis and inappropriate treatment. This study aimed to assess knowledge and common myths about FND among medical students and practitioners.
METHODS: Data were collected from 324 participants using a structured questionnaire. The questionnaire included demographics, general information about FND and myths about FND. Data were analysed using non-parametric tests and Spearman's r for correlations.
RESULTS: The majority of participants were clinical-years medical students (65.1%) and female (59.6%). Overall, knowledge about FND was limited, with a mean score of 42.3% of correct answers. Common myths included the belief that FND is a psychological disorder and that patients feign symptoms. Knowledge scores differed significantly among different grades/experience levels, with postgraduate practitioners having the highest scores. There was a positive correlation between knowledge scores and confidence in managing FND.
CONCLUSION: This study highlights the prevalence of myths and misconceptions about FND among medical students and practitioners, emphasising the need for accurate education to improve diagnosis and management. Healthcare professionals should take a biopsychosocial approach to FND, considering the complex interplay between biological, psychological and social factors. Efforts to increase awareness and reduce stigma associated with FND are crucial for promoting better care. Targeted educational interventions may be beneficial to improve the understanding and management of FND among medical professionals.","['Al-Sibahee EM', 'Hashim A', 'Al-Badri S', 'Al-Fatlawi N']",2023,5,2,BMJ Neurol Open,"Al-Sibahee EM, et al. Myths and facts about functional neurological disorders: a cross-sectional study of knowledge and awareness among medical students and healthcare professionals in Iraq. Myths and facts about functional neurological disorders: a cross-sectional study of knowledge and awareness among medical students and healthcare professionals in Iraq. 2023; 5:e000470. doi: 10.1136/bmjno-2023-000470",https://pubmed.ncbi.nlm.nih.gov/37794883/
37775201,Setting up Functional Neurological Disorder Treatment Services: Questions and Answers.,"Functional neurologic disorder (FND) is commonly encountered across outpatient and inpatient medical settings. Given the potential for a high burden of disability in some patients and mounting evidence for the efficacy of FND-specific multidisciplinary treatment services, expanding clinical services for this population is a necessity. In this perspective article, we discuss considerations for creating FND services, including the types of services that exist, how to start, how to identify appropriate referrals, and how to develop and monitor individualized treatment plans. In addition, we discuss how this effort can be done sustainably - balancing patient needs with limited healthcare resources.","['Finkelstein SA', 'Carson A', 'Edwards MJ', 'Kozlowska K', 'Lidstone SC', 'Perez DL', 'Polich G', 'Stone J', 'Aybek S']",2023,41,4,Neurol Clin,"Finkelstein SA, et al. Setting up Functional Neurological Disorder Treatment Services: Questions and Answers. Setting up Functional Neurological Disorder Treatment Services: Questions and Answers. 2023; 41:729-743. doi: 10.1016/j.ncl.2023.04.002",https://pubmed.ncbi.nlm.nih.gov/37775201/
37775200,Developing a Curriculum for Functional Neurological Disorder in Neurology Training: Questions and Answers.,"Functional neurologic disorder (FND) is a common condition for which neurology residents often receive little to no formal teaching. Using a question-and-answer format, this article puts forward a case for why an FND curriculum is needed and aims to provide guidance on possible curricular content including medical knowledge, clinical skills, communication, and team-based collaboration. The authors also discuss methods for teaching and evaluating this knowledge and associated clinical skills, linking this to current Accreditation Council for Graduate Medical Education neurology milestones. Finally, the authors consider how to better engage and energize neurology trainees around this underserved yet challenging patient population.","['Finkelstein SA', ""O'Neal MA"", 'Gaston Baslet', 'Dworetzky BA', 'Godena E', 'Maggio J', 'Millstein D', 'Milligan T', 'Perez DL']",2023,41,4,Neurol Clin,"Finkelstein SA, et al. Developing a Curriculum for Functional Neurological Disorder in Neurology Training: Questions and Answers. Developing a Curriculum for Functional Neurological Disorder in Neurology Training: Questions and Answers. 2023; 41:711-728. doi: 10.1016/j.ncl.2023.02.007",https://pubmed.ncbi.nlm.nih.gov/37775200/
37775199,Outpatient Approach to Occupational Therapy for Paroxysmal Functional Neurologic Symptoms: Sensory Modulation Training as an Emerging Treatment.,"Occupational therapy (OT) is an important treatment modality for patients with paroxysmal functional neurologic disorder (FND) symptoms. In our clinical experience, an outpatient, OT-based sensory modulation treatment can address sensory processing difficulties often endorsed by patients with paroxysmal motor FND and functional seizures. This article aims to describe in detail the goals and treatment strategies for occupational therapists to replicate this approach. This article is also an important first step in aiding the development and execution of clinical trials to further evaluate the effectiveness of sensory-based treatment in patients with FND.","['Ranford J', 'MacLean J']",2023,41,4,Neurol Clin,Ranford J and MacLean J. Outpatient Approach to Occupational Therapy for Paroxysmal Functional Neurologic Symptoms: Sensory Modulation Training as an Emerging Treatment. Outpatient Approach to Occupational Therapy for Paroxysmal Functional Neurologic Symptoms: Sensory Modulation Training as an Emerging Treatment. 2023; 41:695-709. doi: 10.1016/j.ncl.2023.02.008,https://pubmed.ncbi.nlm.nih.gov/37775199/
37775198,Toward a Precision Medicine Approach to the Outpatient Assessment and Treatment of Functional Neurological Disorder.,"Functional neurological disorder (FND) is a neuropsychiatric condition. In this field, prospective psychotherapy trials and consensus recommendations for physiotherapy, occupational therapy, and speech language therapy have been published. However, significant clinical complexities remain. ""Rule in"" signs - while critical for making a positive diagnosis - do not equate to a personalized treatment plan in many instances. Here, we propose that the neuropsychiatric assessment and real-time development of a work-in-progress biopsychosocial clinical formulation aids the development of a patient-centered outpatient treatment plan. This precision medicine approach is based on the literature, expert opinions and our clinical experience working in an interdisciplinary FND service.","['Perez DL', 'Finkelstein S', 'Adams C', 'Saxena A']",2023,41,4,Neurol Clin,"Perez DL, et al. Toward a Precision Medicine Approach to the Outpatient Assessment and Treatment of Functional Neurological Disorder. Toward a Precision Medicine Approach to the Outpatient Assessment and Treatment of Functional Neurological Disorder. 2023; 41:681-693. doi: 10.1016/j.ncl.2023.02.006",https://pubmed.ncbi.nlm.nih.gov/37775198/
