pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37673212,Legionella longbeachae : a probably underdiagnosed etiology of severe community-acquired pneumonia in Switzerland.,,"['Vieira Gomes C', 'Marti C', 'Garin N', 'Genecand L']",2023,,,Infect Dis Now,"Vieira Gomes C, et al. Legionella longbeachae : a probably underdiagnosed etiology of severe community-acquired pneumonia in Switzerland. Legionella longbeachae : a probably underdiagnosed etiology of severe community-acquired pneumonia in Switzerland. 2023; (unknown volume):104777. doi: 10.1016/j.idnow.2023.104777",https://pubmed.ncbi.nlm.nih.gov/37673212/
37670282,"Empirical antibiotic treatment for community-acquired pneumonia and accuracy for Legionella pneumophila, Mycoplasma pneumoniae, and Clamydophila pneumoniae: a descriptive cross-sectional study of adult patients in the emergency department.","BACKGROUND: Many factors determine empirical antibiotic treatment of community-acquired pneumonia (CAP). We aimed to describe the empirical antibiotic treatment CAP patients with an acute hospital visit and to determine if the current treatment algorithm provided specific and sufficient coverage against Legionella pneumophila, Mycoplasma pneumoniae, and Clamydophila pneumoniae (LMC).
METHODS: A descriptive cross-sectional, multicenter study of all adults with an acute hospital visit in the Region of Southern Denmark between January 2016 and March 2018 was performed. Using medical records, we retrospectively identified the empirical antibiotic treatment and the microbiological etiology for CAP patients. CAP patients who were prescribed antibiotics within 24 h of admission and with an identified bacterial pathogen were included. The prescribed empirical antibiotic treatment and its ability to provide specific and sufficient coverage against LMC pneumonia were determined.
RESULTS: Of the 19,133 patients diagnosed with CAP, 1590 (8.3%) patients were included in this study. Piperacillin-tazobactam and Beta-lactamase sensitive penicillins were the most commonly prescribed empirical treatments, 515 (32%) and 388 (24%), respectively. Our analysis showed that 42 (37%, 95% CI: 28-47%) of 113 patients with LMC pneumonia were prescribed antibiotics with LMC coverage, and 42 (12%, 95% CI: 8-15%) of 364 patients prescribed antibiotics with LMC coverage had LMC pneumonia.
CONCLUSION: Piperacillin-tazobactam, a broad-spectrum antibiotic recommended for uncertain infectious focus, was the most frequent CAP treatment and prescribed to every third patient. In addition, the current empirical antibiotic treatment accuracy was low for LMC pneumonia. Therefore, future research should focus on faster diagnostic tools for identifying the infection focus and precise microbiological testing.","['Lorentzen MH', 'Rosenvinge FS', 'Lassen AT', 'Graumann O', 'Laursen CB', 'Mogensen CB', 'Skjøt-Arkil H']",2023,23,1,BMC Infect Dis,"Lorentzen MH, et al. Empirical antibiotic treatment for community-acquired pneumonia and accuracy for Legionella pneumophila, Mycoplasma pneumoniae, and Clamydophila pneumoniae: a descriptive cross-sectional study of adult patients in the emergency department. Empirical antibiotic treatment for community-acquired pneumonia and accuracy for Legionella pneumophila, Mycoplasma pneumoniae, and Clamydophila pneumoniae: a descriptive cross-sectional study of adult patients in the emergency department. 2023; 23:580. doi: 10.1186/s12879-023-08565-6",https://pubmed.ncbi.nlm.nih.gov/37670282/
37668382,Development of heat-shock resistance in Legionella pneumophila modeled by experimental evolution.,"Because it can grow in buildings with complex hot water distribution systems (HWDS), healthcare facilities recognize the waterborne bacterium ","['Liang J', 'Cameron G', 'Faucher SP']",2023,,,Appl Environ Microbiol,"Liang J, et al. Development of heat-shock resistance in Legionella pneumophila modeled by experimental evolution. Development of heat-shock resistance in Legionella pneumophila modeled by experimental evolution. 2023; (unknown volume):e0066623. doi: 10.1128/aem.00666-23",https://pubmed.ncbi.nlm.nih.gov/37668382/
37653467,Proteomic analysis of Acanthamoeba castellanii response to Legionella pneumophila infection.,"Legionella pneumophila is an opportunistic pathogen responsible for Legionnaires' disease or Legionellosis. This bacterium is found in the environment interacting with free-living amoebae such as Acanthamoeba castellanii. Until now, proteomic analyses have been done in amoebae infected with L. pneumophila but focused on the Legionella-containing vacuole. In this study, we propose a global proteomic analysis of the A. castellanii proteome following infection with L. pneumophila wild-type (WT) or with an isogenic ΔdotA mutant strain, which is unable to replicate intracellularly. We found that infection with L. pneumophila WT leads to reduced levels of A. castellanii proteins associated with lipid homeostasis/metabolism, GTPase regulation and kinase. The levels of organelle-associated proteins were also decreased during infection. L. pneumophila WT infection leads to increase levels of proteins associated with proteins polyubiquitination, folding or degradation and antioxidant activities. This study reinforces our knowledge of this too-little-explored but so fundamental interaction between L. pneumophila and A. castellanii, to understand how the bacterium could resist amoeba digestion.","['Hay A', 'Rolland S', 'Bernard C', 'Hechard Y', 'Villeger R', 'Samba-Louaka A']",2023,,,FEMS Microbiol Lett,"Hay A, et al. Proteomic analysis of Acanthamoeba castellanii response to Legionella pneumophila infection. Proteomic analysis of Acanthamoeba castellanii response to Legionella pneumophila infection. 2023; (unknown volume):(unknown pages). doi: 10.1093/femsle/fnad086",https://pubmed.ncbi.nlm.nih.gov/37653467/
37652687,"Trends of legionellosis reported in Jeju Province, Republic of Korea, 2015-2022.","BACKGROUND: The number of reported cases of Legionnaires' disease (LD) in the Republic of Korea surged nationally in 2016; however, in 2022, this number was higher in Jeju Province than the previous national peak. A descriptive epidemiological study was conducted to analyze trends in the incidence of reported LD cases in Jeju Island from 2015 to 2022.
METHODS: The data for this study were obtained from case reports submitted to the Korea Disease Control and Prevention Agency through its Disease and Health Integrated Management System. The selection criteria were cases or suspected cases of LD reported among Jeju residents between 2015 and 2022. The 95% confidence interval of the crude incidence rate was calculated using the Poisson distribution.
RESULTS: Since 2020, the incidence rate of LD in Jeju has risen sharply, showing a statistically significant difference from the national incidence rate. A particular medical institution in Jeju reported a significant number of LD cases. Screening with the urine antigen test (UAT) also increased significantly.
CONCLUSION: Our findings indicate that the rapid increase in cases of LD in Jeju Province since 2020 was due to the characteristics of medical-care use among Jeju residents, which were focused on a specific medical institution. According to their clinical practice guidelines, this medical institution conducted UATs to screen patients suspected of pneumonia.","['Park J', 'Bae JM']",2023,14,4,Osong Public Health Res Perspect,"Park J and Bae JM. Trends of legionellosis reported in Jeju Province, Republic of Korea, 2015-2022. Trends of legionellosis reported in Jeju Province, Republic of Korea, 2015-2022. 2023; 14:321-327. doi: 10.24171/j.phrp.2023.0145",https://pubmed.ncbi.nlm.nih.gov/37652687/
37643149,Shotgun Metagenomics Reveals Impacts of Copper and Water Heater Anodes on Pathogens and Microbiomes in Hot Water Plumbing Systems.,"Hot water building plumbing systems are vulnerable to the proliferation of opportunistic pathogens (OPs), including ","['Song Y', 'Finkelstein R', 'Rhoads W', 'Edwards MA', 'Pruden A']",2023,,,Environ Sci Technol,"Song Y, et al. Shotgun Metagenomics Reveals Impacts of Copper and Water Heater Anodes on Pathogens and Microbiomes in Hot Water Plumbing Systems. Shotgun Metagenomics Reveals Impacts of Copper and Water Heater Anodes on Pathogens and Microbiomes in Hot Water Plumbing Systems. 2023; (unknown volume):(unknown pages). doi: 10.1021/acs.est.3c03568",https://pubmed.ncbi.nlm.nih.gov/37643149/
37642743,A 3D printed microfluidic device for scalable multiplexed CRISPR-cas12a biosensing.,"Accurate, rapid, and multiplexed nucleic acid detection is critical for environmental and biomedical monitoring. In recent years, CRISPR-Cas12a has shown great potential in improving the performance of DNA biosensing. However, the nonspecific trans-cleavage activity of Cas12a complicates the multiplexing capability of Cas12a biosensing. We report a 3D-printed composable microfluidic plate (cPlate) device that utilizes miniaturized wells and microfluidic loading for a multiplexed CRISPR-Cas12a assay. The device easily combines loop-mediated isothermal amplification (LAMP) and CRISPR-Cas12a readout in a simple and high-throughput workflow with low reagent consumption. To ensure the maximum performance of the device, the concentration of Cas12a and detection probe was optimized, which yielded a four-fold sensitivity improvement. Our device demonstrates sensitive detection to the fg mL","['Curtin K', 'Wang J', 'Fike BJ', 'Binkley B', 'Li P']",2023,25,3,Biomed Microdevices,"Curtin K, et al. A 3D printed microfluidic device for scalable multiplexed CRISPR-cas12a biosensing. A 3D printed microfluidic device for scalable multiplexed CRISPR-cas12a biosensing. 2023; 25:34. doi: 10.1007/s10544-023-00675-x",https://pubmed.ncbi.nlm.nih.gov/37642743/
37639588,Coxiella co-opts the Glutathione Peroxidase 4 to protect the host cell from oxidative stress-induced cell death.,"The causative agent of human Q fever, ","['Loterio RK', 'Thomas DR', 'Andrade W', 'Lee YW', 'Santos LL', 'Mascarenhas DPA', 'Steiner TM', 'Chiaratto J', 'Fielden LF', 'Lopes L', 'Bird LE', 'Goldman GH', 'Stojanovski D', 'Scott NE', 'Zamboni DS', 'Newton HJ']",2023,120,36,Proc Natl Acad Sci U S A,"Loterio RK, et al. Coxiella co-opts the Glutathione Peroxidase 4 to protect the host cell from oxidative stress-induced cell death. Coxiella co-opts the Glutathione Peroxidase 4 to protect the host cell from oxidative stress-induced cell death. 2023; 120:e2308752120. doi: 10.1073/pnas.2308752120",https://pubmed.ncbi.nlm.nih.gov/37639588/
37633566,Legionella pneumophila macrophage infectivity potentiator protein appendage domains modulate protein dynamics and inhibitor binding.,"Macrophage infectivity potentiator (MIP) proteins are widespread in human pathogens including Legionella pneumophila, the causative agent of Legionnaires' disease and protozoans such as Trypanosoma cruzi. All MIP proteins contain a FKBP (FK506 binding protein)-like prolyl-cis/trans-isomerase domain that hence presents an attractive drug target. Some MIPs such as the Legionella pneumophila protein (LpMIP) have additional appendage domains of mostly unknown function. In full-length, homodimeric LpMIP, the N-terminal dimerization domain is linked to the FKBP-like domain via a long, free-standing stalk helix. Combining X-ray crystallography, NMR and EPR spectroscopy and SAXS, we elucidated the importance of the stalk helix for protein dynamics and inhibitor binding to the FKBP-like domain and bidirectional crosstalk between the different protein regions. The first comparison of a microbial MIP and a human FKBP in complex with the same synthetic inhibitor was made possible by high-resolution structures of LpMIP with a [4.3.1]-aza-bicyclic sulfonamide and provides a basis for designing pathogen-selective inhibitors. Through stereospecific methylation, the affinity of inhibitors to L. pneumophila and T. cruzi MIP was greatly improved. The resulting X-ray inhibitor-complex structures of LpMIP and TcMIP at 1.49 and 1.34 Å, respectively, provide a starting point for developing potent inhibitors against MIPs from multiple pathogenic microorganisms.","['Wiedemann C', 'Whittaker JJ', 'Pérez Carrillo VH', 'Goretzki B', 'Dajka M', 'Tebbe F', 'Harder JM', 'Krajczy PR', 'Joseph B', 'Hausch F', 'Guskov A', 'Hellmich UA']",2023,252,,Int J Biol Macromol,"Wiedemann C, et al. Legionella pneumophila macrophage infectivity potentiator protein appendage domains modulate protein dynamics and inhibitor binding. Legionella pneumophila macrophage infectivity potentiator protein appendage domains modulate protein dynamics and inhibitor binding. 2023; 252:126366. doi: 10.1016/j.ijbiomac.2023.126366",https://pubmed.ncbi.nlm.nih.gov/37633566/
37633274,"The respiratory tract microbiome, the pathogen load, and clinical interventions define severity of bacterial pneumonia.","Bacterial pneumonia is a considerable problem worldwide. Here, we follow the inter-kingdom respiratory tract microbiome (RTM) of a unique cohort of 38 hospitalized patients (n = 97 samples) with pneumonia caused by Legionella pneumophila. The RTM composition is characterized by diversity drops early in hospitalization and ecological species replacement. RTMs with the highest bacterial and fungal loads show low diversity and pathogen enrichment, suggesting high biomass as a biomarker for secondary and/or co-infections. The RTM structure is defined by a ""commensal"" cluster associated with a healthy RTM and a ""pathogen"" enriched one, suggesting that the cluster equilibrium drives the microbiome to recovery or dysbiosis. Legionella biomass correlates with disease severity and co-morbidities, while clinical interventions influence the RTM dynamics. Fungi, archaea, and protozoa seem to contribute to progress of pneumonia. Thus, the interplay of the RTM equilibrium, the pathogen load dynamics, and clinical interventions play a critical role in patient recovery.","['Pérez-Cobas AE', 'Ginevra C', 'Rusniok C', 'Jarraud S', 'Buchrieser C']",2023,,,Cell Rep Med,"Pérez-Cobas AE, et al. The respiratory tract microbiome, the pathogen load, and clinical interventions define severity of bacterial pneumonia. The respiratory tract microbiome, the pathogen load, and clinical interventions define severity of bacterial pneumonia. 2023; (unknown volume):101167. doi: 10.1016/j.xcrm.2023.101167",https://pubmed.ncbi.nlm.nih.gov/37633274/
