pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37870782,Three-Dimensional Ultrasonography for Lipedema Diagnosis.,,['Rockson SG'],2023,21,5,Lymphat Res Biol,Rockson SG. Three-Dimensional Ultrasonography for Lipedema Diagnosis. Three-Dimensional Ultrasonography for Lipedema Diagnosis. 2023; 21:431. doi: 10.1089/lrb.2023.29151.editorial,https://pubmed.ncbi.nlm.nih.gov/37870782/
37867193,Racial differences in healthcare expenditures for prevalent multimorbidity combinations in the USA: a cross-sectional study.,"BACKGROUND: We aimed to model total charges for the most prevalent multimorbidity combinations in the USA and assess model accuracy across Asian/Pacific Islander, African American, Biracial, Caucasian, Hispanic, and Native American populations.
METHODS: We used Cerner HealthFacts data from 2016 to 2017 to model the cost of previously identified prevalent multimorbidity combinations among 38 major diagnostic categories for cohorts stratified by age (45-64 and 65 +). Examples of prevalent multimorbidity combinations include lipedema with hypertension or hypertension with diabetes. We applied generalized linear models (GLM) with gamma distribution and log link function to total charges for all cohorts and assessed model accuracy using residual analysis. In addition to 38 major diagnostic categories, our adjusted model incorporated demographic, BMI, hospital, and census division information.
RESULTS: The mean ages were 55 (45-64 cohort, N = 333,094) and 75 (65 + cohort, N = 327,260), respectively. We found actual total charges to be highest for African Americans (means $78,544 [45-64], $176,274 [65 +]) and lowest for Hispanics (means $29,597 [45-64], $66,911 [65 +]). African American race was strongly predictive of higher costs (p < 0.05 [45-64]; p < 0.05 [65 +]). Each total charge model had a good fit. With African American as the index race, only Asian/Pacific Islander and Biracial were non-significant in the 45-64 cohort and Biracial in the 65 + cohort. Mean residuals were lowest for Hispanics in both cohorts, highest in African Americans for the 45-64 cohort, and highest in Caucasians for the 65 + cohort. Model accuracy varied substantially by race when multimorbidity grouping was considered. For example, costs were markedly overestimated for 65 + Caucasians with multimorbidity combinations that included heart disease (e.g., hypertension + heart disease and lipidemia + hypertension + heart disease). Additionally, model residuals varied by age/obesity status. For instance, model estimates for Hispanic patients were highly underestimated for most multimorbidity combinations in the 65 + with obesity cohort compared with other age/obesity status groupings.
CONCLUSIONS: Our finding demonstrates the need for more robust models to ensure the healthcare system can better serve all populations. Future cost modeling efforts will likely benefit from factoring in multimorbidity type stratified by race/ethnicity and age/obesity status.","['Alshakhs M', 'Goedecke PJ', 'Bailey JE', 'Madlock-Brown C']",2023,21,1,BMC Med,"Alshakhs M, et al. Racial differences in healthcare expenditures for prevalent multimorbidity combinations in the USA: a cross-sectional study. Racial differences in healthcare expenditures for prevalent multimorbidity combinations in the USA: a cross-sectional study. 2023; 21:399. doi: 10.1186/s12916-023-03084-2",https://pubmed.ncbi.nlm.nih.gov/37867193/
37867080,Clinical insights about Lipedema: Awareness and clinical perception.,,"['de Oliveira J', 'de Paula ACP', 'de Carvalho Stelmo I']",2023,,,Obes Res Clin Pract,"de Oliveira J, et al. Clinical insights about Lipedema: Awareness and clinical perception. Clinical insights about Lipedema: Awareness and clinical perception. 2023; (unknown volume):(unknown pages). doi: 10.1016/j.orcp.2023.10.001",https://pubmed.ncbi.nlm.nih.gov/37867080/
37845074,Body-Mass-Index vs. Taille-zu-Größe-Verhältnis bei Patientinnen mit Lipohyperplasia dolorosa (vulgo Lipödem).,,"['Brenner E', 'Forner-Cordero I', 'Faerber G', 'Rapprich S', 'Cornely M']",2023,21,10,J Dtsch Dermatol Ges,"Brenner E, et al. Body-Mass-Index vs. Taille-zu-Größe-Verhältnis bei Patientinnen mit Lipohyperplasia dolorosa (vulgo Lipödem). Body-Mass-Index vs. Taille-zu-Größe-Verhältnis bei Patientinnen mit Lipohyperplasia dolorosa (vulgo Lipödem). 2023; 21:1179-1187. doi: 10.1111/ddg.15182_g",https://pubmed.ncbi.nlm.nih.gov/37845074/
37844030,National survey of patient symptoms and therapies among 707 women with a lipedema phenotype in the United States.,"BACKGROUND: National survey data exploring the patient experience with lipedema are lacking.
METHODS: We conducted national surveys from 2016 to 2022 of women with lipedema as well as female controls. Surveys collected information on symptomatology, pain, and therapies. We performed logistic regression comparing symptoms among those with lipedema versus controls adjusting for age and BMI.
RESULTS: A total of 707 women with lipedema and 216 controls completed the surveys. Those with lipedema had a mean age of 48.6 years and mean BMI of 40.9 kg/m
CONCLUSION: In a large, national, symptom survey, women with lipedema reported excess pain, swelling, and fat in the legs along with numerous symptoms beyond those classically described. Symptom responses to common therapies remain understudied.","['Aday AW', 'Donahue PM', 'Garza M', 'Crain VN', 'Patel NJ', 'Beasley JA', 'Herbst KL', 'Beckman JA', 'Taylor SL', 'Pridmore M', 'Chen SC', 'Donahue MJ', 'Crescenzi R']",2023,,,Vasc Med,"Aday AW, et al. National survey of patient symptoms and therapies among 707 women with a lipedema phenotype in the United States. National survey of patient symptoms and therapies among 707 women with a lipedema phenotype in the United States. 2023; (unknown volume):1358863X231202769. doi: 10.1177/1358863X231202769",https://pubmed.ncbi.nlm.nih.gov/37844030/
37811191,Management of Lipedema Beyond Liposuction: A Case Study.,"Lipedema is a pathologic accumulation of adipose tissue in the subcutaneous layer of the extremities. This connective tissue disorder, which predominately affects females, is often misdiagnosed despite an incidence of ∼11%. Misdiagnosis often leads to delays in appropriate treatment, further increasing the morbidity of the condition. The authors report their facilities' experience in treating a patient with lipedema, requiring multiple surgical interventions involving liposuction and skin debulking to achieve desired aesthetic outcomes. The patient presented to the plastic surgery clinic with severe lipedema of the bilateral lower extremities. She previously underwent a panniculectomy and bilateral lower extremity liposuction without achieving the desired aesthetic results. Prior conservative management and liposuction alone were both unsuccessful treatment options and she required debulking procedures, along with further liposuction, as definitive management. The patient underwent 2 procedures at the clinic, both consisting of liposuction and panniculectomy of the lower extremities and buttocks. The procedures were conducted 1 year apart but were able to achieve the patient's desired aesthetics goals. Management of lipedema can be challenging, but not impossible. This case report shows that local excision is a viable option for treatment if minimally invasive options yield limited results.","['Bouillon VN', 'Hinson CS', 'Hu M', 'Brooks RM']",2023,5,,Aesthet Surg J Open Forum,"Bouillon VN, et al. Management of Lipedema Beyond Liposuction: A Case Study. Management of Lipedema Beyond Liposuction: A Case Study. 2023; 5:ojad088. doi: 10.1093/asjof/ojad088",https://pubmed.ncbi.nlm.nih.gov/37811191/
37789512,Diagnostic imaging in lipedema: A systematic review.,"BACKGROUND: Diagnosing lipedema remains a challenge due to its heterogeneous presentation, co-existing diseases, and the lack of objective diagnostic imaging.
OBJECTIVE: This systematic review aims to outline the currently available diagnostic imaging methods to characterize lipedema in the legs along with their diagnostic performance.
METHODS: PubMed, Embase, Google Scholar, Scopus, and Web of Science were searched. The quality assessment of diagnostic accuracy studies (QUADAS) tool was used for quality assessment.
RESULTS: Thirty-two studies describing a total of 1154 patients with lipedema were included for final analysis. Features for lipedema have been defined using ultrasound (increased subcutaneous adipose tissue), lymphoscintigraphy (slowing of the lymphatic flow and a frequent asymmetry between the lower extremities), computed tomography (symmetrical bilateral soft tissue enlargement without either skin thickening or subcutaneous edema), magnetic resonance imaging (increased subcutaneous adipose tissue), MR lymphangiography (enlarged lymphatic vessels up to a diameter of 2 mm), and dual-energy X-ray absorptiometry (fat mass in the legs adjusted for body mass index (BMI) ≥ 0.46 or fat mass in the legs adjusted for total fat mass ≥ 0.384).
CONCLUSION: The diagnostic performance of currently available imaging modalities for assessing lipedema is limited. Prospective studies are needed to evaluate and compare the diagnostic performance of each imaging modality. Imaging techniques focusing on the pathogenesis of the disease are needed.","['van la Parra RFD', 'Deconinck C', 'Krug B']",2023,,,Obes Rev,"van la Parra RFD, et al. Diagnostic imaging in lipedema: A systematic review. Diagnostic imaging in lipedema: A systematic review. 2023; (unknown volume):(unknown pages). doi: 10.1111/obr.13648",https://pubmed.ncbi.nlm.nih.gov/37789512/
37787957,Effect of Physical Therapy on Circumference Measurement and Extremity Volume in Patients Suffering from Lipedema with Secondary Lymphedema.,,"['Esmer M', 'Schingale FJ']",2023,,,Lymphat Res Biol,Esmer M and Schingale FJ. Effect of Physical Therapy on Circumference Measurement and Extremity Volume in Patients Suffering from Lipedema with Secondary Lymphedema. Effect of Physical Therapy on Circumference Measurement and Extremity Volume in Patients Suffering from Lipedema with Secondary Lymphedema. 2023; (unknown volume):(unknown pages). doi: 10.1089/lrb.2023.0013,https://pubmed.ncbi.nlm.nih.gov/37787957/
37757819,An NHS in crisis: addressing gaps in services through collaboration and opportunity.,,['Warrilow M'],2023,28,Sup10,Br J Community Nurs,Warrilow M. An NHS in crisis: addressing gaps in services through collaboration and opportunity. An NHS in crisis: addressing gaps in services through collaboration and opportunity. 2023; 28:S5-S6. doi: 10.12968/bjcn.2023.28.Sup10.S5,https://pubmed.ncbi.nlm.nih.gov/37757819/
37757817,Together we can beat lipoedema: collaboratively founding a Lipedema World Alliance.,,['Forster K'],2023,28,Sup10,Br J Community Nurs,Forster K. Together we can beat lipoedema: collaboratively founding a Lipedema World Alliance. Together we can beat lipoedema: collaboratively founding a Lipedema World Alliance. 2023; 28:S10-S13. doi: 10.12968/bjcn.2023.28.Sup10.S10,https://pubmed.ncbi.nlm.nih.gov/37757817/
