pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37591526,Venous eczema and chronic venous disease.,,"['Tran M', 'Lea V', 'Zhao C', 'Kristoffersen S']",2023,382,,BMJ,"Tran M, et al. Venous eczema and chronic venous disease. Venous eczema and chronic venous disease. 2023; 382:e074602. doi: 10.1136/bmj-2022-074602",https://pubmed.ncbi.nlm.nih.gov/37591526/
37261990,Venous eczema: more than just a rash.,"Venous eczema-also known as varicose, gravitational or stasis eczema-is a common form of eczema. In fact, 37-44% of patients with leg ulcers can present with a venous eczema. It is highly unpleasant, and can disrupt an individual's personal and social life. In this article, Drew Payne provides a community nurse's perspective on what venous eczema is, how to manage it in patients, and how to prevent further reoccurences.",['Payne D'],2023,28,6,Br J Community Nurs,Payne D. Venous eczema: more than just a rash. Venous eczema: more than just a rash. 2023; 28:298-300. doi: 10.12968/bjcn.2023.28.6.298,https://pubmed.ncbi.nlm.nih.gov/37261990/
32491651,,,,,,,,,
36837896,Centella asiatica and Its Metabolite Asiatic Acid: Wound Healing Effects and Therapeutic Potential.,"An intense effort has been focused on new therapeutic approaches and the development of technologies for more efficient and rapid wound healing. The research for plants used for long time in traditional medicine in the treatment of wound has become a promising strategy to obtain drugs therapeutically useful in the acute and chronic wound management. In this context, ","['Diniz LRL', 'Calado LL', 'Duarte ABS', 'de Sousa DP']",2023,13,2,Metabolites,"Diniz LRL, et al. Centella asiatica and Its Metabolite Asiatic Acid: Wound Healing Effects and Therapeutic Potential. Centella asiatica and Its Metabolite Asiatic Acid: Wound Healing Effects and Therapeutic Potential. 2023; 13:(unknown pages). doi: 10.3390/metabo13020276",https://pubmed.ncbi.nlm.nih.gov/36837896/
36800152,"Stasis Dermatitis: An Overview of Its Clinical Presentation, Pathogenesis, and Management.","Stasis dermatitis is a chronic inflammatory skin disease of the lower extremities. It typically occurs in older individuals and is the cutaneous manifestation of venous hypertension caused by venous reflux. Such retrograde venous blood flow is the result of incompetent venous valves, valve destruction, or venous obstruction. Stasis dermatitis is eczematous. The associated impairment of venous valves may cause swelling of the legs, leading to serious conditions including venous ulcerations. Diagnosis can be challenging because of its clinical resemblance to other skin conditions and poor clinical recognition by physicians. The cornerstones of stasis dermatitis treatment are compression therapy to ameliorate pain and swelling, topical treatments to alleviate secondary skin changes, and interventional treatment options to correct the underlying causes of venous reflux. Given the central role of inflammation of the lower extremities in driving the cutaneous changes characteristic of stasis dermatitis, new therapeutic approaches that target the inflammation are under clinical evaluation in patients with stasis dermatitis.","['Yosipovitch G', 'Nedorost ST', 'Silverberg JI', 'Friedman AJ', 'Canosa JM', 'Cha A']",2023,24,2,Am J Clin Dermatol,"Yosipovitch G, et al. Stasis Dermatitis: An Overview of Its Clinical Presentation, Pathogenesis, and Management. Stasis Dermatitis: An Overview of Its Clinical Presentation, Pathogenesis, and Management. 2023; 24:275-286. doi: 10.1007/s40257-022-00753-5",https://pubmed.ncbi.nlm.nih.gov/36800152/
36194405,"Red legs: how to differentiate between cellulitis, venous eczema and lipodermatosclerosis.","Community nurses often encounter people with red legs. There are a number of reasons why an individual may develop red legs. The most common causes of red legs are cellulitis, venous eczema and lipodermatosclerosis. All have different causes and require different treatments. This article aims to enable readers to differentiate between these conditions which can appear similar, and to offer effective evidence-based care.",['Nazarko L'],2022,27,10,Br J Community Nurs,"Nazarko L. Red legs: how to differentiate between cellulitis, venous eczema and lipodermatosclerosis. Red legs: how to differentiate between cellulitis, venous eczema and lipodermatosclerosis. 2022; 27:486-494. doi: 10.12968/bjcn.2022.27.10.486",https://pubmed.ncbi.nlm.nih.gov/36194405/
36127034,Differentiation of hydrochlorothiazide-induced dermatitis from stasis dermatitis.,"A woman in her 60s with a history of hypertension and stasis dermatitis presented to a primary care clinic with a bilateral, erythematous rash on the legs, stomach, and chest. Photosensitive rash and dermatitis may be caused by many conditions. Hydrochlorothiazide-induced dermatitis is a rare side effect of thiazide diuretics. Early identification of sulfa-sensitivity and photoallergic or phototoxic reaction is essential to accurate diagnosis and treatment of photosensitive dermatitis. Soliciting a targeted history is essential to delineating drug-induced dermatitis from stasis dermatitis. A thorough skin examination can elucidate the focal or extensive nature of the rash and is essential to making an accurate diagnosis. Immediate cessation of hydrochlorothiazide and switching drugs classes for hypertension management typically leads to resolution of symptoms.","['Abdelwahab R', 'Tangalos EG', 'Matulis J']",2022,15,9,BMJ Case Rep,"Abdelwahab R, et al. Differentiation of hydrochlorothiazide-induced dermatitis from stasis dermatitis. Differentiation of hydrochlorothiazide-induced dermatitis from stasis dermatitis. 2022; 15:(unknown pages). doi: 10.1136/bcr-2022-249884",https://pubmed.ncbi.nlm.nih.gov/36127034/
35600200,Klippel-Trenaunay Syndrome: Case series from a university hospital of Nepal.,"INTRODUCTION: Klippel Trenaunay Syndrome (KTS) is a rare congenital malformation with capillary and venous malformations and soft tissue/bony overgrowth with or without lymphatic malformation. Cutaneous vascular stain, varicosities and tissue hypertrophy represent its main clinical features. Besides, the patient can develop thromboembolic pathologies, recurrent bouts of infection, stasis eczema, limb length discrepancy and intolerable pain typical of intraosseous involvement.
METHODS: Here, we report a case series of seven patients aged 10-45 who presented to our centre with clinical features suggestive of KTS. Out of them, six patients had involvement of unilateral lower limb, while only one had involvement of bilateral lower limb. They all had typical cutaneous vascular stains and underlying venous malformation, while one patient had developed complications with multiple ulcer formation.
OUTCOMES: An interdisciplinary team of vascular surgeons, dermatologists, interventional radiologists, orthopaedics, and physiotherapists managed the cases. We performed an individualized treatment as per the patient's presentation, which included a combination of supportive, medical, interventional radiologic, and surgical interventions. The follow-up outcomes of all the patients revealed significant resolution of symptoms.
CONCLUSION: Patients with KTS can have diverse presentations. Therefore, clinicians should ensure an individualized treatment with the involvement of a multidisciplinary team for proper management and prevention of complications.","['Karmacharya RM', 'Vaidya S', 'Bhatt S', 'Tamang A', 'Shrestha RB', 'Bhandari N', 'Paudel B', 'Shah M', 'Nepal G']",2022,78,,Ann Med Surg (Lond),"Karmacharya RM, et al. Klippel-Trenaunay Syndrome: Case series from a university hospital of Nepal. Klippel-Trenaunay Syndrome: Case series from a university hospital of Nepal. 2022; 78:103732. doi: 10.1016/j.amsu.2022.103732",https://pubmed.ncbi.nlm.nih.gov/35600200/
34883526,Injection sclerotherapy for varicose veins.,"BACKGROUND: Varicose veins are enlarged and tortuous veins, affecting up to one-third of the world's population. They can be a cause of chronic venous insufficiency, which is characterised by oedema, pigmentation, eczema, lipodermatosclerosis, atrophie blanche, and healed or active venous ulcers. Injection sclerotherapy (liquid or foam) is widely used for treatment of varicose veins aiming to transform the varicose veins into a fibrous cord. However, there is limited evidence regarding its effectiveness and safety, especially in patients with more severe disease. This is the second update of the review first published in 2002.
OBJECTIVES: To assess the effectiveness and safety of injection sclerotherapy for the treatment of varicose veins.
SEARCH METHODS: For this update, the Cochrane Vascular Information Specialist searched the Cochrane Vascular Specialised Register, CENTRAL, MEDLINE, Embase, AMED, CINAHL, and LILACS databases, and the World Health Organization International Clinical Trials Registry Platform and ClinicalTrials.gov trials registries, on 20 July 2021.
SELECTION CRITERIA: We included all randomised controlled trials (RCTs) (including cluster-randomised trials and first phase cross-over studies) that used injection sclerotherapy for the treatment of varicose veins.
DATA COLLECTION AND ANALYSIS: Two review authors independently assessed, selected and extracted data. Disagreements were cross-checked by a third review author. We used Cochrane's Risk of bias tool to assess the risk of bias. The outcomes of interest were cosmetic appearance, complications, residual varicose veins, quality of life (QoL), persistence of symptoms, and recurrent varicose veins. We calculated risk ratios (RRs) or mean difference (MD) with 95% confidence intervals (CIs). We used the worst-case-scenario for dichotomous data imputation for intention-to-treat analyses. For continuous outcomes, we used the 'last-observation-carried-forward' for data imputation if there was balanced loss to follow-up. We assessed the certainty of the evidence using the GRADE approach.
MAIN RESULTS: We included 23 new RCTs for this update, bringing the total to 28 studies involving 4278 participants. The studies differed in their design, and in which sclerotherapy method, agent or concentration was used. None of the included RCTs compared sclerotherapy to no intervention or to any pharmacological therapy. The certainty of the evidence was downgraded for risk of bias, low number of studies providing information for each outcome, low number of participants, clinical differences between the study participants, and wide CIs. Sclerotherapy versus placebo Foam sclerotherapy may improve cosmetic appearance as measured by IPR-V (independent photography review - visible varicose veins scores) compared to placebo (polidocanol 1%: mean difference (MD) -0.76, 95% CI -0.91 to -0.60; 2 studies, 223 participants; very low-certainty evidence); however, deep vein thrombosis (DVT) rates may be slightly increased in this intervention group (RR 5.10, 95% CI 1.30 to 20.01; 3 studies, 302 participants; very low-certainty evidence). Residual varicose vein rates may be decreased following polidocanol 1% compared to placebo (RR 0.19, 95% CI 0.13 to 0.29; 2 studies, 225 participants; very low-certainty evidence). Following polidocanol 1% use, there may be a possible improvement in QoL as assessed using the VEINES-QOL/Sym questionnaire (MD 12.41, 95% CI 9.56 to 15.26; 3 studies, 299 participants; very low-certainty evidence), and possible improvement in varicose vein symptoms as assessed using the Venous Clinical Severity Score (VCSS) (MD -3.25, 95% CI -3.90 to -2.60; 2 studies, 223 participants; low-certainty evidence). Recurrent varicose veins were not reported for this comparison. Foam sclerotherapy versus foam sclerotherapy with different concentrations Three individual RCTs reported no evidence of a difference in cosmetic appearance after comparing different concentrations of the intervention; data could not be pooled for two of the three studies (RR 1.11, 95% CI 0.84 to 1.47; 1 study, 80 participants; very low-certainty evidence). Similarly, there was no clear difference in rates of thromboembolic complications when comparing one foam concentration with another (RR 1.47, 95% CI 0.41 to 5.33; 3 studies, 371 participants; very low-certainty evidence). Three RCTs investigating higher concentrations of polidocanol foam indicated the rate of residual varicose veins may be slightly decreased in the polidocanol 3% foam group compared to 1% (RR 0.67, 95% CI 0.43 to 1.04; 3 studies, 371 participants; moderate-certainty evidence). No clear improvement in QoL was detected. Two RCTs reported improved VCSS scores with increasing concentrations of foam. Persistence of symptoms were not reported for this comparison. There was no clear difference in recurrent varicose vein rates (RR 0.91, 95% CI 0.62 to 1.32; 1 study, 148 participants; low-certainty evidence). Foam sclerotherapy versus liquid sclerotherapy One RCT reported on cosmetic appearance with no evidence of a difference between foam or liquid sclerotherapy (patient satisfaction scale MD 0.2, 95% CI -0.27 to 0.67; 1 study, 126 participants; very low-certainty evidence). None of the RCTs investigated thromboembolic complications, QoL or persistence of symptoms. Six studies individually showed there may be a benefit to polidocanol 3% foam over liquid sclerotherapy in reducing residual varicose vein rate; pooling data from two studies showed a RR of 0.51, with 95% CI 0.41 to 0.65; 203 participants; very low-certainty evidence. One study reported no clear difference in recurrent varicose vein rates when comparing sodium tetradecyl sulphate (STS) foam or liquid (RR 1.10, 95% CI 0.86 to 1.42; 1 study, 286 participants; very low-certainty evidence). Sclerotherapy versus sclerotherapy with different substances Four RCTs compared sclerotherapy versus sclerotherapy with any other substance. We were unable to combine the data due to heterogeneity or assess the certainty of the evidence due to insufficient data.
AUTHORS' CONCLUSIONS: There is a very low to low-certainty evidence that, compared to placebo, sclerotherapy is an effective and safe treatment for varicose veins concerning cosmetic appearance, residual varicose veins, QoL, and persistence of symptoms. Rates of DVT may be slightly increased and there were no data concerning recurrent varicose veins. There was limited or no evidence for one concentration of foam compared to another; foam compared to liquid sclerotherapy; foam compared to any other substance; or one technique compared to another. There is a need for high-quality trials using standardised sclerosant doses, with clearly defined core outcome sets, and measurement time points to increase the certainty of the evidence.","['de Ávila Oliveira R', 'Riera R', 'Vasconcelos V', 'Baptista-Silva JC']",2021,12,12,Cochrane Database Syst Rev,"de Ávila Oliveira R, et al. Injection sclerotherapy for varicose veins. Injection sclerotherapy for varicose veins. 2021; 12:CD001732. doi: 10.1002/14651858.CD001732.pub3",https://pubmed.ncbi.nlm.nih.gov/34883526/
34334489,Onset Mechanism and Pharmaceutical Management of Dry Skin.,"Dry skin is a common symptom of various conditions, and elderly individuals commonly exhibit this physiological symptom. Dry skin develops owing to sebum deficiency; however, the use of moisturizers can typically overcome this issue, particularly in patients in whom there are no other skin problems. If dry skin is left untreated, itching and eczema can occur, resulting in skin damage. Additionally, hemodialysis patients exhibit reduced barrier function and can experience pain associated with repeated needle insertion; the repeated use of lidocaine tape to manage the pain can cause further skin damage. To reduce the occurrence of dry skin, the skin is hydrated using moisturizers. Dry skin is also prominent in patients with varicose veins in the lower extremities, and many biochemical studies have shown that skin immunity is altered in patients with dry skin. Moreover, the incidences of dry skin and pruritus differ in male and female patients. Furthermore, in elderly patients, zinc deficiency is likely to cause dry skin, and zinc supplementation may maintain skin hydration. To date, few reports have described dry skin from a clinical point of view. In this review, research on dry skin is presented, and the findings of basic research studies are integrated.",['Ooi K'],2021,44,8,Biol Pharm Bull,Ooi K. Onset Mechanism and Pharmaceutical Management of Dry Skin. Onset Mechanism and Pharmaceutical Management of Dry Skin. 2021; 44:1037-1043. doi: 10.1248/bpb.b21-00150,https://pubmed.ncbi.nlm.nih.gov/34334489/
