pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37695984,,,,,,,,,
37695046,,,,,,,,,
37652222,Predictive value of CD4<sup>+</sup>CD8<sup>+</sup> double positive T cells for the severity of hemorrhagic fever with renal syndrome.,"PURPOSES: We aimed to investigate the levels of CD4
METHODS: The levels of DP T cells in 213 patients and 48 healthy donors were measured by flow cytometry, as were the levels of CD4
RESULTS: The frequency of DP T cells increased with disease severity and peaked in patients with critical disease. Furthermore, the level of DP T cells proportionally correlated with the levels of Cr, UA, and urea in the serum. In contrast, there was an inverse correlation between DP T cells and platelets. Interestingly, the pattern of change in DP T cell frequency was similar to those of CD8
CONCLUSIONS: The level of DP T cells is associated with HFRS severity, suggesting that it may be a potent indicator for the course of this disorder.","['Zhao HD', 'Sun JJ', 'Yu TB', 'Liu HL']",2023,120,,Clin Biochem,"Zhao HD, et al. Predictive value of CD4<sup>+</sup>CD8<sup>+</sup> double positive T cells for the severity of hemorrhagic fever with renal syndrome. Predictive value of CD4<sup>+</sup>CD8<sup>+</sup> double positive T cells for the severity of hemorrhagic fever with renal syndrome. 2023; 120:110643. doi: 10.1016/j.clinbiochem.2023.110643",https://pubmed.ncbi.nlm.nih.gov/37652222/
37636535,Rare central nervous system manifestation of granulomatosis with polyangiitis in a 12-year-old child: A case report.,"To share a unique case of granulomatosis with polyangiitis (GPA) identified in a child with CNS involvement, specifically PRES (posterior reversible encephalopathy syndrome). Discuss this uncommon manifestation's clinical characteristics, diagnostic process, and treatment. We are currently discussing a 12-year-old female patient who presented with a chronic cough, shortness of breath, and a new-onset fever. Upon further examination, the patient was diagnosed with GPA, confirmed through positive cytoplasmic antineutrophil cytoplasmic antibodies (C-ANCA), a renal biopsy, and multiple lung cavitary lesions. During her hospitalization, the patient also experienced neurological symptoms, including a severe headache, blurred vision, loss of consciousness, and an abnormal neurological exam, which led to brain MR imaging. The imaging revealed evidence of small vessel vasculitis with confluent T2 hyper signal intensity of gray-white matter junctions in both parietooccipital and frontal lobes containing hemorrhagic components, suggesting Posterior reversible encephalopathy syndrome. This case of Wegener's granulomatosis is noteworthy due to its occurrence in a pediatric patient with CNS involvement, specifically (posterior reversible encephalopathy syndrome). This event highlights the importance of recognizing that autoimmune disorders can present infrequently in young patients. Diagnosing Wegener's granulomatosis can be challenging, particularly when the CNS is affected. However, when appropriate treatment is initiated promptly, favorable outcomes can be achieved, as evidenced by the patient's improved condition with the prednisolone, captopril, and Rituximab treatment plan. Further research is necessary to understand better the underlying pathophysiology and optimal management of CNS involvement in GPA, particularly in the pediatric population.","['Azin N', 'Hajihashemi A', 'Geravandi M']",2023,18,10,Radiol Case Rep,"Azin N, et al. Rare central nervous system manifestation of granulomatosis with polyangiitis in a 12-year-old child: A case report. Rare central nervous system manifestation of granulomatosis with polyangiitis in a 12-year-old child: A case report. 2023; 18:3704-3709. doi: 10.1016/j.radcr.2023.07.077",https://pubmed.ncbi.nlm.nih.gov/37636535/
37633447,,,,,,,,,
37632047,Zoonotic Hantaviridae with Global Public Health Significance.,,"['Chen RX', 'Gong HY', 'Wang X', 'Sun MH', 'Ji YF', 'Tan SM', 'Chen JM', 'Shao JW', 'Liao M']",2023,15,8,Viruses,"Chen RX, et al. Zoonotic Hantaviridae with Global Public Health Significance. Zoonotic Hantaviridae with Global Public Health Significance. 2023; 15:(unknown pages). doi: 10.3390/v15081705",https://pubmed.ncbi.nlm.nih.gov/37632047/
37632012,Differences in the Susceptibility of Human Tubular Epithelial Cells for Infection with Orthohantaviruses.,"Diseases induced by infection with pathogenic orthohantaviruses are characterized by a pronounced organ-specific manifestation. Pathogenic Eurasian orthohantaviruses cause hemorrhagic fever with renal syndrome (HFRS) with often massive proteinuria. Therefore, the use of a relevant kidney cell culture would be favorable to analyze the underlying cellular mechanisms of orthohantavirus-induced acute kidney injury (AKI). We tested different human tubular epithelial cell lines for their suitability as an in vitro infection model. Permissiveness and replication kinetics of highly pathogenic Hantaan virus (HTNV) and non-/low-pathogenic Tula virus (TULV) were analyzed in tubular epithelial cell lines and compared to human primary tubular epithelial cells. Ana-lysis of the cell line HK-2 revealed the same results for viral replication, morphological and functional effects as observed for HTNV in primary cells. In contrast, the cell lines RPTEC/TERT1 and TH1 demonstrated only poor infection rates after inoculation with HTNV and are unusable as an infection model. While pathogenic HNTV infects primary tubular and HK-2 cells, non-/low-pathogenic TULV infects neither primary tubular cells nor the cell line HK-2. Our results show that permissiveness of renal cells varies between orthohantaviruses with differences in pathogenicity and that HK-2 cells demonstrate a suitable in vitro model to study viral tropism and pathogenesis of orthohantavirus-induced AKI.","['Schreiber P', 'Friedrich AK', 'Gruber G', 'Nusshag C', 'Boegelein L', 'Essbauer S', 'Uhrig J', 'Zeier M', 'Krautkrämer E']",2023,15,8,Viruses,"Schreiber P, et al. Differences in the Susceptibility of Human Tubular Epithelial Cells for Infection with Orthohantaviruses. Differences in the Susceptibility of Human Tubular Epithelial Cells for Infection with Orthohantaviruses. 2023; 15:(unknown pages). doi: 10.3390/v15081670",https://pubmed.ncbi.nlm.nih.gov/37632012/
37629623,,,,,,,,,
37607412,,,,,,,,,
37602312,Hantavirus infections in the South‑Eastern European countries: A study of two cases and literature review.,"Hantavirus infection is a rare zoonosis in South-Eastern Europe. Depending on the serotype involved, the virus can cause hemorrhagic fever with renal syndrome which is also known as endemic nephropathy, and cardiopulmonary syndrome. Prompt diagnosis of the disease is essential for reducing the risk of severe manifestations and complications like chronic kidney disease, secondary hypertension or even death because there is no specific treatment or vaccine approved. The present study reported two cases of hemorrhagic fever with renal syndrome diagnosed in the Department of Nephrology of The Fundeni Clinical Institute (Romania). In both patients, kidney needle biopsy played a major role in establishing the diagnosis. The difficulties encountered in diagnosing this disease were also emphasized, taking into consideration the rarity of this infection in South-Eastern Europe. The key literature data on the epidemiology, pathogenesis and management of this infection were further reviewed.","['Lupuşoru G', 'Andronesi AG', 'Lupuşoru M', 'Ailincăi I', 'Sfeatcu R', 'Văcăroiu I', 'Banu M', 'Achim C', 'Ismail G']",2023,26,3,Exp Ther Med,"Lupuşoru G, et al. Hantavirus infections in the South‑Eastern European countries: A study of two cases and literature review. Hantavirus infections in the South‑Eastern European countries: A study of two cases and literature review. 2023; 26:430. doi: 10.3892/etm.2023.12129",https://pubmed.ncbi.nlm.nih.gov/37602312/
