pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37674827,"""We don't really do doctors."" messages from people diagnosed with occupational leptospirosis for medical professionals on infection, hospitalisation, and long-term effects.","Leptospirosis is largely an occupational disease for people working with livestock in Aotearoa New Zealand. Introduction of livestock vaccination and use of personal protective equipment has been associated with a reduction in the incidence. However, the incidence of occupational leptospirosis remains high, with significant burdens for affected families and healthcare system. For this article, a subset of thirteen participants from a nationwide leptospirosis case-control study (2019-2021) who were diagnosed with leptospirosis and worked with livestock at the time of illness were invited and agreed to a semi-structured interview. Interviewees reflected on their experiences as messages for medical professionals. The analysis of transcripts reveals widely shared experiences with infection, hospitalisation, and treatment, as well as long-term effects and recovery. Conclusions for medical professionals include that ill workers continue to have their diagnosis of leptospirosis delayed. This delay may contribute to more than half the people ill with leptospirosis hospitalised. Further, medical professionals' communication and relationship with ill people strongly colours the latter's experience, for good or for bad. Moreover, most interviewees experienced a recovery process that took several months of feeling tired, which undermined professional performance and emotional wellbeing.","['Prinsen G', 'Baker M', 'Benschop J', 'Collins-Emerson J', 'Douwes J', 'Fayaz A', 'Littlejohn S', 'Nisa S', 'Quin T', 'Yeung P']",2023,9,9,Heliyon,"Prinsen G, et al. ""We don't really do doctors."" messages from people diagnosed with occupational leptospirosis for medical professionals on infection, hospitalisation, and long-term effects. ""We don't really do doctors."" messages from people diagnosed with occupational leptospirosis for medical professionals on infection, hospitalisation, and long-term effects. 2023; 9:e19303. doi: 10.1016/j.heliyon.2023.e19303",https://pubmed.ncbi.nlm.nih.gov/37674827/
37672535,A cross-sectional investigation of Leptospira at the wildlife-livestock interface in New Zealand.,"There has been a recent upsurge in human cases of leptospirosis in New Zealand, with wildlife a suspected emerging source, but up-to-date knowledge on this topic is lacking. We conducted a cross-sectional study in two farm environments to estimate Leptospira seroprevalence in wildlife and sympatric livestock, PCR/culture prevalence in wildlife, and compare seroprevalence and prevalence between species, sex, and age groups. Traps targeting house mice (Mus musculus), black rats (Rattus rattus), hedgehogs (Erinaceus europaeus) and brushtail possums (Trichosurus vulpecula) were set for 10 trap-nights in March-April 2017 on a dairy (A) and a beef and sheep (B) farm. Trapped wild animals and an age-stratified random sample of domestic animals, namely cattle, sheep and working dogs were blood sampled. Sera were tested by microagglutination test for five serogroups and titres compared using a Proportional Similarity Index (PSI). Wildlife kidneys were sampled for culture and qPCR targeting the lipL32 gene. True prevalence in mice was assessed using occupancy modelling by collating different laboratory results. Infection profiles varied by species, age group and farm. At the MAT cut-point of ≥ 48, up to 78% of wildlife species, and 16-99% of domestic animals were seropositive. Five of nine hedgehogs, 23/105 mice and 1/14 black rat reacted to L. borgpetersenii sv Ballum. The sera of 4/18 possums and 4/9 hedgehogs reacted to L. borgpetersenii sv Hardjobovis whilst 1/18 possum and 1/9 hedgehog reacted to Tarassovi. In ruminants, seroprevalence for Hardjobovis and Pomona ranged 0-90% and 0-71% depending on the species and age group. Titres against Ballum, Tarassovi and Copenhageni were also observed in 4-20%, 0-25% and 0-21% of domestic species, respectively. The PSI indicated rodents and livestock had the most dissimilar serological responses. Three of nine hedgehogs, 31/105 mice and 2/14 rats were carrying leptospires (PCR and/or culture positive). True prevalence estimated by occupancy modelling in mice was 38% [95% Credible Interval 26, 51%] on Farm A and 22% [11, 40%] on Farm B. In the same environment, exposure to serovars found in wildlife species was commonly detected in livestock. Transmission pathways between and within species should be assessed to help in the development of efficient mitigation strategies against Leptospira.","['Moinet M', 'Oosterhof H', 'Nisa S', 'Haack N', 'Wilkinson DA', 'Aberdein D', 'Russell JC', 'Vallée E', 'Collins-Emerson J', 'Heuer C', 'Benschop J']",2023,17,9,PLoS Negl Trop Dis,"Moinet M, et al. A cross-sectional investigation of Leptospira at the wildlife-livestock interface in New Zealand. A cross-sectional investigation of Leptospira at the wildlife-livestock interface in New Zealand. 2023; 17:e0011624. doi: 10.1371/journal.pntd.0011624",https://pubmed.ncbi.nlm.nih.gov/37672535/
37662012,Genetic diversity of Leptospira strains circulating in humans and dogs in France in 2019-2021.,"Leptospirosis is a bacterial zoonotic disease. Humans and dogs are susceptible hosts, with similar clinical manifestations ranging from a febrile phase to multiple organ dysfunction. The incidence of leptospirosis in mainland France is relatively high, at about 1 case per 100,000 inhabitants, but our knowledge of the strains circulating in humans and dogs remains limited. We studied the polymorphism of the ","['Garcia-Lopez M', 'Lorioux C', 'Soares A', 'Trombert-Paolantoni S', 'Harran E', 'Ayral F', 'Picardeau M', 'Djelouadji Z', 'Bourhy P']",2023,13,,Front Cell Infect Microbiol,"Garcia-Lopez M, et al. Genetic diversity of Leptospira strains circulating in humans and dogs in France in 2019-2021. Genetic diversity of Leptospira strains circulating in humans and dogs in France in 2019-2021. 2023; 13:1236866. doi: 10.3389/fcimb.2023.1236866",https://pubmed.ncbi.nlm.nih.gov/37662012/
37658075,Pathogenic Leptospira are widespread in the urban wildlife of southern California.,"Leptospirosis, the most widespread zoonotic disease in the world, is broadly understudied in multi-host wildlife systems. Knowledge gaps regarding Leptospira circulation in wildlife, particularly in densely populated areas, contribute to frequent misdiagnoses in humans and domestic animals. We assessed Leptospira prevalence levels and risk factors in five target wildlife species across the greater Los Angeles region: striped skunks (Mephitis mephitis), raccoons (Procyon lotor), coyotes (Canis latrans), Virginia opossums (Didelphis virginiana), and fox squirrels (Sciurus niger). We sampled more than 960 individual animals, including over 700 from target species in the greater Los Angeles region, and an additional 266 sampled opportunistically from other California regions and species. In the five target species seroprevalences ranged from 5 to 60%, and infection prevalences ranged from 0.8 to 15.2% in all except fox squirrels (0%). Leptospira phylogenomics and patterns of serologic reactivity suggest that mainland terrestrial wildlife, particularly mesocarnivores, could be the source of repeated observed introductions of Leptospira into local marine and island ecosystems. Overall, we found evidence of widespread Leptospira exposure in wildlife across Los Angeles and surrounding regions. This indicates exposure risk for humans and domestic animals and highlights that this pathogen can circulate endemically in many wildlife species even in densely populated urban areas.","['Helman SK', 'Tokuyama AFN', 'Mummah RO', 'Stone NE', 'Gamble MW', 'Snedden CE', 'Borremans B', 'Gomez ACR', 'Cox C', 'Nussbaum J', 'Tweedt I', 'Haake DA', 'Galloway RL', 'Monzón J', 'Riley SPD', 'Sikich JA', 'Brown J', 'Friscia A', 'Sahl JW', 'Wagner DM', 'Lynch JW', 'Prager KC', 'Lloyd-Smith JO']",2023,13,1,Sci Rep,"Helman SK, et al. Pathogenic Leptospira are widespread in the urban wildlife of southern California. Pathogenic Leptospira are widespread in the urban wildlife of southern California. 2023; 13:14368. doi: 10.1038/s41598-023-40322-2",https://pubmed.ncbi.nlm.nih.gov/37658075/
37650399,Current status of infectious diseases among migrants and non-citizens in Malaysia.,"The mass movement of migrants to Malaysia for employment is one of the factors contributing to the emergence and re-emergence of infectious diseases in this country. Despite mandatory health screening for migrants seeking employment, prevalence records of infectious diseases amongst migrant populations in Malaysia are still within negligible proportions. Therefore, the present review highlights the incidence, mortality and overall status of infectious diseases amongst migrants' populations in Malaysia, which maybe be useful for impeding exacerbation of inequalities among them and improving our national health system thru robust and effective emergency responses in controlling the prevalent diseases found among these populations and maybe, Malaysian citizens too. Peer-reviewed articles from January 2016 to December 2020 were searched through online platform including SCOPUS, PubMed, Science Direct, and Google Scholar. Non-peer-reviewed reports and publications from ministry and government websites including data from related agencies were also scoured from in order to ensure that there are no cases being overlooked, as most published articles did not have migrants as the research subjects. A total of 29 studies had been selected in the final analysis. Migrants in Malaysia were at higher risk for tuberculosis, malaria, lymphatic filariasis, cholera, leprosy and leptospirosis. Lymphatic filariasis was still endemic among this population while thousand cases of TB and cholera had been reported among them due to cramp living conditions and poor sanitation in their settlements respectively. While malaria had gradually decreased and become sporadic, the influx of migrant workers had led to the rising of imported malaria cases. Low cases of leprosy had been recorded in Malaysia but a significant proportion of it was contributed by migrant workers. As for leptospirosis, studies found that there are prominent cases among migrant workers, which particularly highest within workers with lower educational attainment. Infectious diseases are still prevalent among migrants in Malaysia due to various interplay factors including their working sectors, country of origin, immunization status, type of settlement, impoverished living conditions, and language and cultural barriers that impeding access to health facilities.","['Mohd Putera NWS', 'Azman AS', 'Mohd Zain SN', 'Yahaya H', 'Lewis JW', 'Sahimin N']",2023,40,2,Trop Biomed,"Mohd Putera NWS, et al. Current status of infectious diseases among migrants and non-citizens in Malaysia. Current status of infectious diseases among migrants and non-citizens in Malaysia. 2023; 40:138-151. doi: 10.47665/tb.40.2.003",https://pubmed.ncbi.nlm.nih.gov/37650399/
37630551,"Leptospira Status in Sweden during the Past Century, Neglected and Re-Emerging?","We compiled data on notified cases of leptospirosis in animals and humans in Sweden. Published studies on leptospirosis in humans and animals from the beginning of the 20th century onwards are summarized. During the Second World War, hundreds of leptospirosis cases in humans were reported in Sweden, but since then, there have been only a few severe cases. Surveillance of leptospirosis in domestic animals demonstrates that the pathogen is still occurring. The occurrence of ","['Strand TM', 'Olsson Engvall E', 'Lahti E', 'Hjertqvist M', 'Lundkvist Å']",2023,11,8,Microorganisms,"Strand TM, et al. Leptospira Status in Sweden during the Past Century, Neglected and Re-Emerging?. Leptospira Status in Sweden during the Past Century, Neglected and Re-Emerging?. 2023; 11:(unknown pages). doi: 10.3390/microorganisms11081991",https://pubmed.ncbi.nlm.nih.gov/37630551/
37624847,The combination of RPA-CRISPR/Cas12a and Leptospira IgM RDT enhances the early detection of leptospirosis.,"BACKGROUND: Lack of available sensitive point-of-care testing is one of the primary obstacles to the rapid diagnosis of leptospirosis. The purpose of this study was to test the performance of two point-of-care tests, a clustered regularly interspaced short palindromic repeat (CRISPR)/CRISPR-associated protein 12a (CRISPR/Cas12a) fluorescence-based diagnostic assay (FBDA), a Leptospira immunoglobulin M (IgM) rapid diagnostic test (RDT), and the two tests combined.
METHODOLOGY/PRINCIPAL FINDINGS: For the diagnosis of 171 clinical samples, a recombinase polymerase amplification (RPA)-CRISPR/Cas12a FBDA for whole blood and Leptospira IgM RDT (Medical Science Public Health, Thailand) for serum were used. The confirmed cases were determined by using any positive qPCR, microscopic agglutination test (MAT), and culture results. Diagnostic accuracy was assessed on the first day of enrollment and stratified by the day after symptom onset. The overall sensitivity of the Leptospira IgM RDT and RPA-CRISPR/Cas12a FBDA was 55.66% and 60.38%, respectively. When the two tests were combined, the sensitivity rose to 84.91%. The specificity of each test was 63.08% and 100%, respectively, and 63.08% when combined. The sensitivity of the Leptospira IgM RDT rose on days 4-6 after the onset of fever, while the RPA-CRISPR/Cas12a FBDA continued to decrease. When the two tests were combined, the sensitivity was over 80% at different days post-onset of fever.
CONCLUSIONS/SIGNIFICANCE: The combination of Leptospira IgM RDT and RPA-CRISPR/Cas12 FBDA exhibited significant sensitivity for the detection of leptospires at various days after the onset of fever, thereby reducing the likelihood of misdiagnosis. The combination of these assays may be suitable for early leptospirosis screening in situations with limited resources.","['Jirawannaporn S', 'Limothai U', 'Tachaboon S', 'Dinhuzen J', 'Kiatamornrak P', 'Chaisuriyong W', 'Srisawat N']",2023,17,8,PLoS Negl Trop Dis,"Jirawannaporn S, et al. The combination of RPA-CRISPR/Cas12a and Leptospira IgM RDT enhances the early detection of leptospirosis. The combination of RPA-CRISPR/Cas12a and Leptospira IgM RDT enhances the early detection of leptospirosis. 2023; 17:e0011596. doi: 10.1371/journal.pntd.0011596",https://pubmed.ncbi.nlm.nih.gov/37624847/
37624294,"A Canine Leptospirosis Clinical Case Due to Leptospira interrogans (Serogroup Icterohaemorrhagiae) in a Dog Kennel in Castelvetrano (Western Sicily, South Italy).",Leptospirosis is a worldwide widespread zoonosis caused by ,"['Grippi F', 'Blanda V', 'Galluzzo P', 'Bongiorno M', 'Sciacca C', 'Arcuri F', ""D'Agostino R"", 'Giacchino I', 'Gucciardi F', ""D'Incau M"", 'Bertasio C', 'Torina A', 'Guercio A']",2023,10,8,Vet Sci,"Grippi F, et al. A Canine Leptospirosis Clinical Case Due to Leptospira interrogans (Serogroup Icterohaemorrhagiae) in a Dog Kennel in Castelvetrano (Western Sicily, South Italy). A Canine Leptospirosis Clinical Case Due to Leptospira interrogans (Serogroup Icterohaemorrhagiae) in a Dog Kennel in Castelvetrano (Western Sicily, South Italy). 2023; 10:(unknown pages). doi: 10.3390/vetsci10080508",https://pubmed.ncbi.nlm.nih.gov/37624294/
37616329,"Global, regional, and country-level cost of leptospirosis due to loss of productivity in humans.","BACKGROUND: Leptospirosis, a prevalent zoonotic disease with One Health priority and a disease of poverty, lacks global economic burden estimates. This study aims to determine the global, regional, and country-level cost of leptospirosis due to loss of productivity.
METHODOLOGY/PRINCIPAL FINDINGS: The cost of leptospirosis due to loss of productivity (referred to as productivity cost hereafter) was estimated by converting the disability-adjusted life years (DALYs) lost due to leptospirosis to a monetary value using the per capita gross domestic product (GDP). The country-specific DALYs lost were obtained from the global burden of leptospirosis study published previously. Non-health GDP per capita (GDP- per capita health expenditure) was used for the cost conversion of DALYs. Country-specific GDP and health expenditure data were obtained from the World Bank data repositories. Estimates were done using both nominal and international dollars. The estimated global productivity cost of leptospirosis in 2019 was Int$ 29.3 billion, with low and high estimates ranging from Int$ 11.6 billion to 52.3 billion. China (Int$ 4.8 billion), India (Int$ 4.6 billion), Indonesia (Int$ 2.8 billion), Sri Lanka (Int$ 2.1 billion), and the United States (Int$ 1.3 billion) had the highest productivity cost due to leptospirosis. Eight out of 10 countries with the highest burden were in the Asia-Pacific region. In addition, lower-middle-income countries had an annual productivity cost of Int$ 13.8 billion, indicating that the disease is poverty-related.
CONCLUSION: Although significant, the cost estimate due to loss of productivity is merely a fraction of the overall economic burden of this disease, which also includes other direct, indirect, and intangible costs. The existing partial estimates of the different components of economic cost suggest a profound economic burden that demands the inclusion of leptospirosis in the global health agenda for comprehensive disease control and prevention efforts, including vaccine development.","['Agampodi S', 'Gunarathna S', 'Lee JS', 'Excler JL']",2023,17,8,PLoS Negl Trop Dis,"Agampodi S, et al. Global, regional, and country-level cost of leptospirosis due to loss of productivity in humans. Global, regional, and country-level cost of leptospirosis due to loss of productivity in humans. 2023; 17:e0011291. doi: 10.1371/journal.pntd.0011291",https://pubmed.ncbi.nlm.nih.gov/37616329/
37609525,Prevalence of human leptospirosis in the Americas: a systematic review and meta-analysis.,"OBJECTIVE: To describe the prevalence of leptospirosis in the Americas.
METHODS: A systematic review and meta-analysis, in the period 1930 to 2017, performed on a search of six platforms: PubMed, Web of Science, Scopus, Lilacs, Embase, and Cochrane.
RESULTS: The search found 77 publications of which 53 (68%) were from the period 2000-2017. Of the 77, 62 studies were included in the analysis, from North America (11, 17%), Central America (9, 14%), and South America (42, 67%), and 22 studies were from urban areas. Leptospirosis prevalence in the 62 studies analyzed corresponded to 28% (95% CI [23, 32]). Countries with higher prevalence were United States of America (41%), Colombia (29%), and Brazil (21%). The most frequent serovars found were Icterohaemorrhagiae (43 of 77 publications, 55%), Canicola (35, 45%), Pomona (28, 36%), and Grippotyphosa (26, 33%).
CONCLUSIONS: There is variability of ","['Browne ES', 'Pereira M', 'Barreto A', 'Zeppelini CG', 'de Oliveira D', 'Costa F']",2023,47,,Rev Panam Salud Publica,"Browne ES, et al. Prevalence of human leptospirosis in the Americas: a systematic review and meta-analysis. Prevalence of human leptospirosis in the Americas: a systematic review and meta-analysis. 2023; 47:e126. doi: 10.26633/RPSP.2023.126",https://pubmed.ncbi.nlm.nih.gov/37609525/
