pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37875628,"Epidemiological Characteristics and Factors Associated with Repeat Sexually Transmitted Infections in Barcelona, Spain Over a Decade.","In the last few years, the frequency of sexually transmitted infections (STI) has increased, as has the number of people with multiple infections. The aim of our study was to describe the epidemiological characteristics of persons with repeated bacterial STI and to determine the risk factors for these episodes in persons living in Barcelona during the period 2007-2018. We studied all cases of bacterial STI included in the STI registry of Barcelona. Repeated STI were defined as a diagnosis of gonorrhea, syphilis, or lymphogranuloma venereum (LGV) after a first episode of one of these infections. Analysis was stratified by sex and place of birth. The factors associated with time to reinfection were determined by Kaplan-Meier estimates, while the factors associated with risk of infection were determined by a Cox proportional hazards model. Of 9927 persons with a diagnosis of bacterial STI, 1690 (17.0%) had at least two episodes of STI during the study period. On multivariate analysis, repeat STI were independently associated with male sex assigned at birth (HR: 3.45; 95%CI 2.22-5.36), age less than 34 years (HR: 1.22; 95%CI 1.10-1.35); gay, bisexual, and other men who have sex with men, and transgender o transsexual woman (GBSMS/Trans) (HR: 4.03; 95%CI 3.24-5.03), having gonorrhea as first diagnosis (HR:1.49, 95%CI 1.34-1.66) or LGV (HR:1.75; 95%CI 1.47-2.08) and coinfection with HIV (HR:1.98; 95%CI 1.78-2.21). Sexual health programs should be strengthened to prevent STI and reinfection in key populations.","['Jacques-Aviñó C', 'Alarcón Guitiérrez M', 'Barbera MJ', 'Fuertes I', 'Martin-Ezquerra G', 'Lopez-Contreras J', 'Vives Á', 'Rodriguez R', 'Ros M', 'Rius C', 'de Olalla PG']",2023,,,Arch Sex Behav,"Jacques-Aviñó C, et al. Epidemiological Characteristics and Factors Associated with Repeat Sexually Transmitted Infections in Barcelona, Spain Over a Decade. Epidemiological Characteristics and Factors Associated with Repeat Sexually Transmitted Infections in Barcelona, Spain Over a Decade. 2023; (unknown volume):(unknown pages). doi: 10.1007/s10508-023-02711-6",https://pubmed.ncbi.nlm.nih.gov/37875628/
37749973,Swelling of inguinal lymph nodes in a patient with HIV: a case report.,"Lymphogranuloma venereum (LGV) is a sexually transmitted infection caused by the L1, L2, and L3 serotypes of Chlamydia trachomatis (CT). It primarily affects regional lymph nodes. Although it is not endemic in Europe and North America, recent reports indicate an increasing prevalence among men who have sex with men, with proctocolitis as the most frequently reported symptom. We report the case of a homosexual male that presented to our department with a nodular lesion on the shaft of the penis and tender, enlarged inguinal lymph nodes. Throat, urethral, and rectal swabs were collected for CT testing using real-time polymerase chain reaction. The urethral swab was positive for CT, whereas the throat and rectal swabs were negative. Subsequent testing detected the presence of LGV DNA. The patient was treated with a prolonged course of doxycycline. After 6 weeks, the urethral swab for CT returned a negative result. The patient reported complete remission 7 weeks after the start of treatment.","['Bartenjev MS', 'Mastnak M', 'Keše D', 'Murnik Rauh A']",2023,32,3,Acta Dermatovenerol Alp Pannonica Adriat,"Bartenjev MS, et al. Swelling of inguinal lymph nodes in a patient with HIV: a case report. Swelling of inguinal lymph nodes in a patient with HIV: a case report. 2023; 32:123-125.",https://pubmed.ncbi.nlm.nih.gov/37749973/
33760503,,,,,,,,,
30725971,,,,,,,,,
31335003,,,,,,,,,
30726047,,,,,,,,,
37335757,Sexually transmitted infections in Spain: Current status.,"Sexually Transmitted Infections (STI) are a major public health problem. The problems inherent to their diagnosis, treatment and prevention have to do not only with their nature, but also with organizational issues and overlapping competencies of the different health authorities in Spain. The real situation of STI in Spain, at present, is poorly known. For this reason, the Scientific Committee on COVID and Emerging Pathogens of the Illustrious Official College of Physicians of Madrid (ICOMEM) has formulated a series of questions on this subject which were distributed, not only among the members of the Committee, but also among experts outside it. The central health authorities provide very high and increasing figures for gonococcal infection, syphilis, Chlamydia trachomatis infection and lymphogranuloma venereum (LGV). Both HIV infection and Monkeypox are two important STI caused by viruses in our environment, to which it should be added, mainly, Herpes simplex virus (HSV) and Human papillomavirus (HPV) infections. Emerging microorganisms such as Mycoplasma genitalium pose not only pathogenic challenges but also therapeutic problems, as in the case of N. gonohrroeae. The pathways that patients with suspected STI follow until they are adequately diagnosed and treated are not well known in Spain. Experts understand that this problem is fundamentally managed in public health institutions, and that Primary Care and Hospital Emergency Services, together with some institutions that deal monographically with this problem, are the recipients of most of these patients. One of the most serious difficulties of STI lies in the availability of the microbiological tests necessary for their diagnosis, particularly in this era of outsourcing of microbiology services. Added to this is the increased cost of implementing the latest generation of molecular techniques and the difficulties of transporting samples. It is clear that STI are not diseases to which the entire population is equally exposed and it is necessary to have a better knowledge of the risk groups where to focus the necessary interventions adapted to their characteristics. It should not be forgotten that STI are also a problem in the pediatric age group and that their presence can be a marker of sexual abuse with all that this implies in terms of health care and medicolegal activity. Finally, STI are infections that are associated with a high cost of care for which we have very little information. The possibility of expanding the automatic performance of laboratory tests for STI surveillance through laboratory routines is encountering ethical and legal problems that are not always easy to solve. Spain has created a ministerial area of specific attention to STI and there are plans to improve the diagnosis, treatment and prevention of these problems, but we still lack the necessary evidence on their impact. We cannot forget that these are diseases that transcend the individual and constitute a Public Health problem.","['Del Romero J', 'Moreno Guillén S', 'Rodríguez-Artalejo FJ', 'Ruiz-Galiana J', 'Cantón R', 'De Lucas Ramos P', 'García-Botella A', 'García-Lledó A', 'Hernández-Sampelayo T', 'Gómez-Pavón J', 'González Del Castillo J', 'Martín-Delgado MC', 'Martín Sánchez FJ', 'Martínez-Sellés M', 'Molero García JM', 'Gómez Castellá J', 'Palomo M', 'García Berrio R', 'Couso González A', 'Sotomayor C', 'Bouza E']",2023,36,5,Rev Esp Quimioter,"Del Romero J, et al. Sexually transmitted infections in Spain: Current status. Sexually transmitted infections in Spain: Current status. 2023; 36:444-465. doi: 10.37201/req/038.2023",https://pubmed.ncbi.nlm.nih.gov/37335757/
37228719,Chronic epididymitis due to Chlamydia trachomatis LGV-L2 in an HIV-negative heterosexual patient: a case report.,,"['Paira DA', 'Olmedo JJ', 'Olivera C', 'Tissera AD', 'Molina RI', 'Rivero VE', 'Motrich RD', 'Saka HA']",2023,11,,Front Public Health,"Paira DA, et al. Chronic epididymitis due to Chlamydia trachomatis LGV-L2 in an HIV-negative heterosexual patient: a case report. Chronic epididymitis due to Chlamydia trachomatis LGV-L2 in an HIV-negative heterosexual patient: a case report. 2023; 11:1129166. doi: 10.3389/fpubh.2023.1129166",https://pubmed.ncbi.nlm.nih.gov/37228719/
36975489,Whole Genome Sequencing of a Chlamydia trachomatis Strain Responsible for a Case of Rectal Lymphogranuloma Venereum in Italy.,Lymphogranuloma venereum (LGV) is a systemic sexually transmitted infection caused by ,"['Marangoni A', 'Amadesi S', 'Djusse ME', 'Foschi C', 'Gaspari V', 'Lazzarotto T', 'Gaibani P']",2023,45,3,Curr Issues Mol Biol,"Marangoni A, et al. Whole Genome Sequencing of a Chlamydia trachomatis Strain Responsible for a Case of Rectal Lymphogranuloma Venereum in Italy. Whole Genome Sequencing of a Chlamydia trachomatis Strain Responsible for a Case of Rectal Lymphogranuloma Venereum in Italy. 2023; 45:1852-1859. doi: 10.3390/cimb45030119",https://pubmed.ncbi.nlm.nih.gov/36975489/
36882313,Mpox proctitis as a likely predisposing factor for chlamydial perihepatitis in a male patient.,"Perihepatitis (Fitz-Hugh-Curtis syndrome) is a rare complication of sexually transmitted infections, mostly seen in women. Only 12 male cases have been reported to date, of which ","['Azrielant S', 'Sheffy A', 'Kanani F', 'Nissan I', 'Adler A', 'Dekel M']",2023,99,4,Sex Transm Infect,"Azrielant S, et al. Mpox proctitis as a likely predisposing factor for chlamydial perihepatitis in a male patient. Mpox proctitis as a likely predisposing factor for chlamydial perihepatitis in a male patient. 2023; 99:287-288. doi: 10.1136/sextrans-2023-055757",https://pubmed.ncbi.nlm.nih.gov/36882313/
36682913,"Characteristics of rectal chlamydia among men who have sex with men in southern Taiwan, 2020-2022: An emerging threat of rectal lymphogranuloma venereum L2b.","BACKGROUND: The prevalence of rectal chlamydia among men who have sex with men (MSM) without human deficiency virus infection (non-HIV) remains uncertain in Taiwan, and rectal lymphogranuloma venereum (LGV) among MSM has never been reported in the Far East.
MATERIAL AND METHODS: From January 2020 to April 2022, MSM coming for anonymous voluntary counseling and testing, for pre-exposure prophylaxis, and for antiretroviral therapy were enrolled. All participants submitted his fecal samples and completed a QR-code questionnaire. Medical records of those who took regular medical visits for HIV were recorded. Multiplex polymerase chain reaction (PCR) was performed for all fecal samples, and ompA gene sequencing was therefore performed for each Chlamydia-positive fecal sample.
RESULTS: Among 341 MSM during 2020-2022 in southern Taiwan, 21 (6.2%) had rectal chlamydia infection. Risk factors of rectal chlamydia included co-infection with rectal gonorrhea (adjusted odds ratio [AOR] 6.78, 95% confidence interval [CI] 1.44-31.91, P = 0.015) and multiple sexual partners (AOR 1.373, 95% CI 1.002-1.882, P = 0.048). Further ompA gene sequencing from 19 Chlamydia-positive fecal samples revealed that the prevalent genotypes or genovariants were Da (26.3%) and L2b (26.3%), followed by B (21.1%), J (14.3%), and G (9.5%). All cases of rectal LGV genovariant L2b presented as acute proctitis with diarrhea, anal pain, or discharge and were treated successfully with prolonged treatment of doxycycline.
CONCLUSIONS: Rectal gonorrhea and multiple sexual partners are risk factors for rectal chlamydia. Clinicians in Taiwan should be aware of the emerging threat of rectal LGV among MSM with acute proctitis.","['Tsai CS', 'Chen PL', 'Lee NY', 'Tsai HP', 'Huang SH', 'Chen SY', 'Tang YW', 'Lin YC', 'Tsai PF', 'Mao LW', 'Su SL', 'Wang JL', 'Ko WC']",2023,56,2,J Microbiol Immunol Infect,"Tsai CS, et al. Characteristics of rectal chlamydia among men who have sex with men in southern Taiwan, 2020-2022: An emerging threat of rectal lymphogranuloma venereum L2b. Characteristics of rectal chlamydia among men who have sex with men in southern Taiwan, 2020-2022: An emerging threat of rectal lymphogranuloma venereum L2b. 2023; 56:408-415. doi: 10.1016/j.jmii.2023.01.007",https://pubmed.ncbi.nlm.nih.gov/36682913/
36669636,"Sexually transmitted infections and clinical features in monkeypox (mpox) patients in Madrid, Spain.","Since the beginning of the monkeypox (mpox) virus outbreak in May 2022, there has been an increase in the number of cases worldwide in the setting of sexual transmission. We have tested by real-time PCR 187 mpox patients, of which 157 patients were screened for sexually transmitted infections (STI) in 245 samples. Thirty-six pathogens were detected in 30 patients: herpes simplex virus (HSV-I/II, 12/36, 33.3%), Neisseria gonorrhoeae (NG, 9/36, 25%), Chlamydia trachomatis (CT, 5/36, 13.8%), Chlamydia trachomatis-lymphogranuloma venereum (CT-LGV, 3/36, 8.3%), Treponema pallidum (TP, 4/36, 11.1%) and Mycoplasma genitalium (MG, 3/36, 8.3%). Screening of STI is recommended in mpox patients for the differential diagnosis of the main infections of sexual tract especially in patients with rectal involvement.","['Maldonado-Barrueco A', 'Sanz-González C', 'Gutiérrez-Arroyo A', 'Grandioso-Vas D', 'Roces-Álvarez P', 'Sendagorta-Cudos E', 'Falces-Romero I', 'Mingorance J', 'García-Rodríguez J', 'Quiles-Melero I']",2023,52,,Travel Med Infect Dis,"Maldonado-Barrueco A, et al. Sexually transmitted infections and clinical features in monkeypox (mpox) patients in Madrid, Spain. Sexually transmitted infections and clinical features in monkeypox (mpox) patients in Madrid, Spain. 2023; 52:102544. doi: 10.1016/j.tmaid.2023.102544",https://pubmed.ncbi.nlm.nih.gov/36669636/
