pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37897436,Factors associated with assistive technology prescription and acceptance in motor neurone disease.,"PURPOSE: The risk of delaying assistive technology (AT) prescription and implementation has significant implications on the safety and quality of life of people with Motor Neurone Disease (PwMND). This study aims to explore the barriers and enablers of AT prescription and implementation identified by PwMND and clinicians.
METHODS: A qualitative study using semi-structured focus groups with clinicians and in-depth interviews with PwMND. Sixteen clinicians and ten PwMND were recruited. Thematic analysis was completed and results were compared and discussed to reach an agreement on the final themes.
RESULTS: Three main factors were identified - PwMND, Clinician and Extrapersonal. For PwMND, personal characteristics, such as mindset, was the strongest enabler and inability to accept diagnosis and AT was the key barrier. For Clinician, communication approach was both the most identified enabler and barrier. For Extrapersonal, the availability of interactive education of AT was the strongest enabler and long wait time was a significant barrier.
CONCLUSION: Our study identified themes that clinicians could have an impact on, such as, providing interactive education, engaging PwMND and their support network, and ongoing upskilling of clinicians working in this field. Themes identified that were beyond the control of clinicians were personal characteristics, acceptance and support networks. It highlights the importance for clinicians to be flexible with their communication approach to accommodate the needs of PwMND in the acceptance of AT.","['Connolly A', 'Bailey S', 'Lamont R', 'Tu A']",2023,,,Disabil Rehabil Assist Technol,"Connolly A, et al. Factors associated with assistive technology prescription and acceptance in motor neurone disease. Factors associated with assistive technology prescription and acceptance in motor neurone disease. 2023; (unknown volume):1-10. doi: 10.1080/17483107.2023.2272858",https://pubmed.ncbi.nlm.nih.gov/37897436/
37849626,FUS G559A Mutation in a Patient with a Frontotemporal Dementia-Motor Neuron Disease Compatible Syndrome: A Case Report.,"Fused in sarcoma (FUS) mutations cause frontotemporal dementia (FTD) and motor neuron disease (MND). Here, we describe a 43-year-old man with progressive behavioral and cognitive change, myelopathy, clinical and electrophysiologic evidence of MND, and a FUS variant of unknown significance (VUS). This VUS, a heterozygous G559A transition (Gly187Ser), was previously reported in a patient with sporadic MND and affects important FUS biophysical properties. While this rare variant's presence in a second patient with a related neurodegenerative syndrome does not establish pathogenicity, it raises the question of whether its association with our patient is coincidental and increases the possibility that FUS G559A is pathogenic.","['Swerdlow RH', 'Jawdat O', 'Swint-Kruse L', 'Townley R']",2023,7,1,J Alzheimers Dis Rep,"Swerdlow RH, et al. FUS G559A Mutation in a Patient with a Frontotemporal Dementia-Motor Neuron Disease Compatible Syndrome: A Case Report. FUS G559A Mutation in a Patient with a Frontotemporal Dementia-Motor Neuron Disease Compatible Syndrome: A Case Report. 2023; 7:1121-1126. doi: 10.3233/ADR-230103",https://pubmed.ncbi.nlm.nih.gov/37849626/
37830099,The complexity of multidisciplinary respiratory care in amyotrophic lateral sclerosis.,"UNLABELLED: Motor neurone disease/amyotrophic lateral sclerosis (ALS) is a progressive neurodegenerative disorder with no known cure, where death is usually secondary to progressive respiratory failure. Assisting people with ALS through their disease journey is complex and supported by clinics that provide comprehensive multidisciplinary care (MDC). This review aims to apply both a respiratory and a complexity lens to the key roles and areas of practice within the MDC model in ALS. Models of noninvasive ventilation care, and considerations in the provision of palliative therapy, respiratory support, and speech and language therapy are discussed. The impact on people living with ALS of both inequitable funding models and the complexity of clinical care decisions are illustrated using case vignettes. Considerations of the impact of emerging antisense and gene modifying therapies on MDC challenges are also highlighted. The review seeks to illustrate how MDC members contribute to collective decision-making in ALS, how the sum of the parts is greater than any individual care component or health professional, and that the MDC 
EDUCATIONAL AIMS: To highlight the complexities surrounding respiratory care in ALS.To alert clinicians to the risk that complexity of ALS care may modify the effectiveness of any specific, evidence-based therapy for ALS.To describe the importance of person-centred care and shared decision-making in optimising care in ALS.","['Berlowitz DJ', 'Mathers S', 'Hutchinson K', 'Hogden A', 'Carey KA', 'Graco M', 'Whelan BM', 'Charania S', 'Steyn F', 'Allcroft P', 'Crook A', 'Sheers NL']",2023,19,3,Breathe (Sheff),"Berlowitz DJ, et al. The complexity of multidisciplinary respiratory care in amyotrophic lateral sclerosis. The complexity of multidisciplinary respiratory care in amyotrophic lateral sclerosis. 2023; 19:220269. doi: 10.1183/20734735.0269-2022",https://pubmed.ncbi.nlm.nih.gov/37830099/
37828358,Neuropsychological impairment in amyotrophic lateral sclerosis-frontotemporal spectrum disorder.,"Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease with a rapid course, characterized by motor neuron dysfunction, leading to progressive disability and death. This Review, which is aimed at neurologists, psychologists and other health professionals who follow evidence-based practice relating to ALS and frontotemporal dementia (FTD), examines the neuropsychological evidence that has driven the reconceptualization of ALS as a spectrum disorder ranging from a pure motor phenotype to ALS-FTD. It focuses on changes in cognition and behaviour, which vary in severity across the spectrum: around 50% individuals with ALS are within the normal range, 15% meet the criteria for ALS-FTD, and the remaining 35% are in the mid-spectrum range with milder and more focal impairments. The cognitive impairments include deficits in verbal fluency, executive functions, social cognition and language, and apathy is the most prevalent behavioural change. The pattern and severity of cognitive and behavioural change predicts underlying regional cerebral dysfunction from brain imaging and post-mortem pathology. Our increased recognition of cognition and behaviour as part of the ALS phenotype has led to the development and standardization of assessment tools, which have been incorporated into research and clinical care. Measuring change over the course of the disease is vital for clinical trials, and neuropsychology is proving to be a biomarker for the earliest preclinical changes.",['Abrahams S'],2023,,,Nat Rev Neurol,Abrahams S. Neuropsychological impairment in amyotrophic lateral sclerosis-frontotemporal spectrum disorder. Neuropsychological impairment in amyotrophic lateral sclerosis-frontotemporal spectrum disorder. 2023; (unknown volume):(unknown pages). doi: 10.1038/s41582-023-00878-z,https://pubmed.ncbi.nlm.nih.gov/37828358/
37827570,Temporal course of cognitive and behavioural changes in motor neuron diseases.,"BACKGROUND: Cognitive and behavioural dysfunction may occur in people with motor neuron disease (MND), with some studies suggesting an association with the 
METHODS: Participants with MND were recruited through the Phenotype-Genotype-Biomarker study. Every 3-6 months, the Edinburgh Cognitive and Behavioural ALS Screen (ECAS) was used to assess amyotrophic lateral sclerosis (ALS) specific (executive functioning, verbal fluency, language) and ALS non-specific (memory, visuospatial) functions. Informants reported on behaviour symptoms via semi-structured interview.
RESULTS: Participants with neuropsychological data at ≥3 visits were included (n=237, mean age=59, 60% male), of which 18 (8%) were 
CONCLUSIONS: In this study, cognitive dysfunction was less common than previously reported and remained stable over time for most. However, cognition declines longitudinally in a small subset, which is not entirely related to ","['McHutchison CA', 'Wuu J', 'McMillan CT', 'Rademakers R', 'Statland J', 'Wu G', 'Rampersaud E', 'Myers J', 'Hernandez JP', 'Abrahams S', 'Benatar M', 'CReATe Consortium']",2023,,,J Neurol Neurosurg Psychiatry,"McHutchison CA, et al. Temporal course of cognitive and behavioural changes in motor neuron diseases. Temporal course of cognitive and behavioural changes in motor neuron diseases. 2023; (unknown volume):(unknown pages). doi: 10.1136/jnnp-2023-331697",https://pubmed.ncbi.nlm.nih.gov/37827570/
37796077,[Diagnostic capabilities of spinal MR angiography and spinal MR tractography in a patient with motor neuron disease].,"Motor neuron diseases (MND) include two main forms - amyotrophic lateral sclerosis (ALS) and spinal muscular atrophy (SMA). A certain part of these diseases is hereditary, while etiology of sporadic cases remains unknown. Both entities are known to develop because of motoneurons damage. Difference between them lies in the state of the descending pyramidal pathways. The pyramidal pathways in SMA are intact, as brain pyramidal neurons are not affected, thus pathology of SMA is restricted to anterior horns of spinal cord. Meanwhile, most forms of ALS arise due to loss of both cerebral and spinal motoneurons, which, in addition to anterior horn lesion, leads to pyramidal descending pathways damage either in brain or in spinal cord. While pathological distinction between these two entities is clear and definite, the clinical difference remains obscure. We present the case of 41-year old patient with MND, in whom spinal MR tractography has revealed lateral columns to be intact that proves the utility of spinal MR tractography in differential diagnosis between ALS and SMA. Given that ischemic diseases of the spinal cord often occur with a clinical picture of MND, we also examined this patient using spinal MRI angiography, revealing a pronounced narrowing and tortuosity of the spinal arteries, complicated by occlusion of the right twelve intercostal artery.","['Belenky VV', 'Plakhotina NA', 'Skoromets AA', 'Dugaev PP', 'Komantsev VN', 'Leontiev OV']",2023,123,9,Zh Nevrol Psikhiatr Im S S Korsakova,"Belenky VV, et al. [Diagnostic capabilities of spinal MR angiography and spinal MR tractography in a patient with motor neuron disease]. [Diagnostic capabilities of spinal MR angiography and spinal MR tractography in a patient with motor neuron disease]. 2023; 123:111-115. doi: 10.17116/jnevro2023123091111",https://pubmed.ncbi.nlm.nih.gov/37796077/
37787812,Factors impacting trial participation in people with motor neuron disease.,"Motor neuron disease (MND) is a rapidly progressive neurodegenerative disorder with limited treatment options. Historically, neurological trials have been plagued by suboptimal recruitment and high rates of attrition. The Motor Neuron Disease-Systematic Multi-Arm Randomised Adaptive Trial (MND-SMART) seeks to identify effective disease modifying drugs. This study investigates person-specific factors affecting recruitment and retention. Improved understanding of these factors may improve trial protocol design, optimise recruitment and retention. Participants with MND completed questionnaires and this was supplemented with clinical data. 12 months after completing the questionnaires we used MND-SMART recruitment data to establish if members of our cohort engaged with the trial. 120 people with MND completed questionnaires for this study. Mean age at participation was 66 (SD = 9), 14% (n = 17) were categorised as long survivors, with 68% (n = 81) of participants male and 60% (n = 73) had the ALS sub-type. Of the 120 study participants, 50% (n = 60) were randomised into MND-SMART and 78% (n = 94) expressed interest an in participating. After the 1-year follow-up period 65% (n = 39) of the 60 randomised participants remained in MND-SMART. Older age was significantly associated with reduced likelihood of participation (OR = 0.92, 95% CI = 0.88-0.96, p = 0.000488). The findings show that people with MND are highly motivated to engage in research, but older individuals remain significantly less likely to participate. We recommend the inclusion of studies to explore characteristics of prospective and current participants alongside trials.","['Beswick E', 'Johnson M', 'Newton J', 'Dakin R', 'Stenson A', 'Abrahams S', 'Carson A', 'Chandran S', 'Pal S']",2023,,,J Neurol,"Beswick E, et al. Factors impacting trial participation in people with motor neuron disease. Factors impacting trial participation in people with motor neuron disease. 2023; (unknown volume):(unknown pages). doi: 10.1007/s00415-023-12010-8",https://pubmed.ncbi.nlm.nih.gov/37787812/
37773166,"[Parkinson-dementia and amyotrophic lateral sclerosis association (complex of Guam). Diagnostic challenge, Mexican patient].","BACKGROUND: The Amyotrophic Lateral Sclerosis-Parkinsonism-Dementia Complex (ALS-PDC) was first described in the islands of Guam. This pathology presented its peak incidence in the 1950s. Due to the rarity of the association, we report a clinical case with this complex. The objective was to describe the nosological and pathogenic implications of these neurodegenerative disorder, since they are not frequent to find in our population.
CLINICAL CASE: We present a case of Latinoamerican origin who initially manifested systemic symptoms of more than 6 years of evolution, with subsequent cognitive alterations. Later, patient began with gait disturbances and motor symptoms suggestive of parkinsonism with atypical data and data of motor neurone disease (MND). More studies were carried out and confirmed findings compatible with upper and lower motor neuron involvement. A mutation in the POLG gene was observed, related to mitochondrial depletion syndrome.
CONCLUSION: Despite the knowledge of this association, it is an entity whose clinical diagnosis could be very difficult to achieve. In addition, molecular mechanisms have not been fully identified, the most common genes related to Parkinsonism and ALS have been excluded, and even attempts to locate the locus were made, without achieving accurate results. Unfortunately, being a neurodegenerative disease, the prognosis is fatal, with no disease-modifying treatment.","['Aguilar-Vázquez CA', 'Gallardo-González LI', 'Raymundo-Carrillo AD', 'Reyes-Sosa LC', 'Martínez-Romo ES']",2023,61,5,Rev Med Inst Mex Seguro Soc,"Aguilar-Vázquez CA, et al. [Parkinson-dementia and amyotrophic lateral sclerosis association (complex of Guam). Diagnostic challenge, Mexican patient]. [Parkinson-dementia and amyotrophic lateral sclerosis association (complex of Guam). Diagnostic challenge, Mexican patient]. 2023; 61:677-684. doi: 10.5281/zenodo.8316479",https://pubmed.ncbi.nlm.nih.gov/37773166/
37739732,A critical view of the use of predictive energy equations for the identification of hypermetabolism in motor neuron disease: A pilot study.,"BACKGROUND AND AIMS: People living with motor neuron disease (MND) frequently struggle to consume an optimal caloric intake. Often compounded by hypermetabolism, this can lead to dysregulated energy homeostasis, prompting the onset of malnutrition and associated weight loss. This is associated with a poorer prognosis and reduced survival. It is therefore important to establish appropriate nutritional goals to ensure adequate energy intake. This is best done by measuring resting energy expenditure (mREE) using indirect calorimetry. However, indirect calorimetry is not widely available in clinical practice, thus dietitians caring for people living with MND frequently use energy equations to predict resting energy expenditure (pREE) and estimate caloric requirements. Energy prediction equations have previously been shown to underestimate resting energy expenditure in over two-thirds of people living with MND. Hypermetabolism has previously been identified using the metabolic index. The metabolic index is a ratio of mREE to pREE, whereby an increase of mREE by ≥110% indicates hypermetabolism. We aim to critically reflect on the use of the Harris-Benedict (1919) and Henry (2005) energy prediction equations to inform a metabolic index to indicate hypermetabolism in people living with MND.
METHODS: mREE was derived using VO₂ and VCO₂ measurements from a GEMNutrition indirect calorimeter. pREE was estimated by Harris-Benedict (HB) (1919), Henry (2005) and kcal/kg/day predictive energy equations. The REE variation, described as the percentage difference between mREE and pREE, determined the accuracy of pREE ([pREE-mREE]/mREE) x 100), with accuracy defined as ≤ ± 10%. A metabolic index threshold of ≥110% was used to classify hypermetabolism. All resting energy expenditure data are presented as kcal/24hr.
RESULTS: Sixteen people living with MND were included in the analysis. The mean mREE was 1642 kcal/24hr ranging between 1110 and 2015 kcal/24hr. When REE variation was analysed for the entire cohort, the HB, Henry and kcal/kg/day equations all overestimated REE, but remained within the accuracy threshold (mean values were 2.81% for HB, 4.51% for Henry and 8.00% for kcal/kg/day). Conversely, inter-individual REE variation within the cohort revealed HB and Henry equations both inaccurately reflected mREE for 68.7% of participants, with kcal/kg/day inaccurately reflecting 41.7% of participants. Whilst the overall cohort was not classified as hypermetabolic (mean values were 101.04% for HB, 98.62% for Henry and 95.64% for kcal/kg/day), the metabolic index ranges within the cohort were 70.75%-141.58% for HB, 72.82%-127.69% for Henry and 66.09%-131.58% for kcal/kg/day, indicating both over- and under-estimation of REE by these equations. We have shown that pREE correlates with body weight (kg), whereby the lighter the individual, the greater the underprediction of REE. When applied to the metabolic index, this underprediction biases towards the classification of hypermetabolism in lighter individuals.
CONCLUSION: Whilst predicting resting energy expenditure using the HB, Henry or kcal/kg/day equations accurately reflects derived mREE at group level, these equations are not suitable for informing resting energy expenditure and classification of hypermetabolism when applied to individuals in clinical practice.","['Roscoe S', 'Skinner E', 'Kabucho Kibirige E', 'Childs C', 'Weekes CE', 'Wootton S', 'Allen S', 'McDermott C', 'Stavroulakis T']",2023,57,,Clin Nutr ESPEN,"Roscoe S, et al. A critical view of the use of predictive energy equations for the identification of hypermetabolism in motor neuron disease: A pilot study. A critical view of the use of predictive energy equations for the identification of hypermetabolism in motor neuron disease: A pilot study. 2023; 57:739-748. doi: 10.1016/j.clnesp.2023.08.017",https://pubmed.ncbi.nlm.nih.gov/37739732/
37679883,Familial motor neuron disease: co-occurrence of PLS and ALS (-FTD).,"OBJECTIVE: To report the frequency and characteristics of patients diagnosed with primary lateral sclerosis (PLS) with a positive family history for motor neuron diseases (MND) in the Netherlands and to compare our findings to the literature.
METHODS: Patients were identified through our ongoing, prospective population-based study on MND in The Netherlands, which also includes a standardized collection of patient characteristics, genetic testing, and family history. Only patients meeting the latest consensus criteria for definite PLS were included. The family history was considered positive for MND if any family members had been diagnosed with PLS, amyotrophic lateral sclerosis (ALS)(-FTD), or progressive muscular atrophy (PMA). Additionally, the literature was reviewed on PLS cases in which MND co-occurred within the same family.
RESULTS: We identified 392 definite PLS cases, resulting in 9 families with a PLS patient and a positive family history for MND (2.3%). In only one of these pedigrees, a pathogenic variant (
CONCLUSIONS: The consistent observation of PLS patients with a positive family history for MND, evident in both our study and the literature, implies the presence of shared underlying genetic factors between PLS and ALS. However, these factors are yet to be elucidated.","['de Boer EMJ', 'Demaegd KC', 'de Bie CI', 'Veldink JH', 'van den Berg LH', 'van Es MA']",2023,,,Amyotroph Lateral Scler Frontotemporal Degener,"de Boer EMJ, et al. Familial motor neuron disease: co-occurrence of PLS and ALS (-FTD). Familial motor neuron disease: co-occurrence of PLS and ALS (-FTD). 2023; (unknown volume):1-8. doi: 10.1080/21678421.2023.2255621",https://pubmed.ncbi.nlm.nih.gov/37679883/
