pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37893465,Particularities of Urinary Tract Infections in Diabetic Patients: A Concise Review.,"Diabetes mellitus is a chronic disease that, untreated or poorly controlled, can lead to serious complications, reducing life expectancy and quality. Diabetic patients are more likely to develop infections, including many common infections, but also pathognomonic ones such as emphysematous pyelonephritis, malignant otitis externa, mucormycosis and Fournier's gangrene. Considering the fact that diabetic patients experience more frequently urinary tract infections (UTIs) with a worse prognosis than non-diabetic people, we conducted a review study based on data in the literature, following the particularities of UTIs in this group of patients, the risk factors, the mechanisms involved and the challenges in their management. The findings highlight that UTI in diabetic patients have some particularities, including a more frequent evolution to bacteremia, increased hospitalizations, and elevated rates of recurrence and mortality than non-diabetic patients. The possible risk factors identified seem to be female gender, pregnancy, older age, UTI in the previous six months, poor glycemic control and duration of diabetes. The mechanisms involved are related to glucosuria and bladder dysfunction, factors related to bacterial strains and host response. The bacterial strains involved in UTIs in diabetic patients and their antibiotic susceptibility profile are, with some exceptions, similar to those in non-diabetic people; however, the antimicrobial agents should be carefully chosen and the duration of the treatment should be as those required for a complicated UTI. The data related to the risk of developing UTIs in patients treated with SGLT-2 inhibitors, a new class of oral hypoglycaemic agents with cardiovascular and renal benefits, are controversial; overall, it was evidenced that UTIs occurred at the initiation of the treatment, recurrent infection was uncommon and the majority of UTIs responded to treatment with standard antibiotics. Moreover, interruption or discontinuation of SGLT-2 inhibitor as a result of UTI was rare and SGLT-2 inhibitors did not increase the risk of severe infections such as urosepsis and pyelonephritis.","['Confederat LG', 'Condurache MI', 'Alexa RE', 'Dragostin OM']",2023,59,10,Medicina (Kaunas),"Confederat LG, et al. Particularities of Urinary Tract Infections in Diabetic Patients: A Concise Review. Particularities of Urinary Tract Infections in Diabetic Patients: A Concise Review. 2023; 59:(unknown pages). doi: 10.3390/medicina59101747",https://pubmed.ncbi.nlm.nih.gov/37893465/
37889464,Identification of bacteria associated with canine otitis externa based on 16S rDNA high-throughput sequencing.,"Bacteria are regarded as predisposing and perpetuating factors causing otitis externa (OE), whereas auricular anatomy is a predisposing factor. This study aims to investigate bacterial populations in the external auditory canals of healthy dogs and dogs with OE. Four categories of ear swabs included healthy erect-ear dogs, erect-ear dogs with OE, healthy pendulous-ear dogs and pendulous-ear dogs with OE. After bacterial DNA extraction, 16S rDNAs were amplified using specific primers within a V3/V4 region. Following DNA library construction, high-throughput sequencing was performed on MiSeq (Illumina). CLC Microbial Genomics Module was used to determine the rarefaction curve, bacterial classification, relative abundance, richness and diversity index. The results demonstrated that healthy dogs had higher bacterial richness and diversity than the dogs with OE. Comparable with culture-dependent methods described previously, this study revealed predominant Corynebacterium spp., Pseudomonas spp., Staphylococcus spp., and Proteus spp. in OE cases. Furthermore, high-throughput sequencing might disclose some potential emerging pathogens including Tissierella spp., Acinetobacter spp., and Achromobacter spp., which have not been reported in previous canine OE cases. Nevertheless, larger sample sizes are further required for an extensive evidence-based investigation.","['Saengchoowong S', 'Jitvaropas R', 'Poomipak W', 'Praianantathavorn K', 'Payungporn S']",2023,,,Braz J Microbiol,"Saengchoowong S, et al. Identification of bacteria associated with canine otitis externa based on 16S rDNA high-throughput sequencing. Identification of bacteria associated with canine otitis externa based on 16S rDNA high-throughput sequencing. 2023; (unknown volume):(unknown pages). doi: 10.1007/s42770-023-01166-0",https://pubmed.ncbi.nlm.nih.gov/37889464/
37881401,Rare Cause of Skull Base Osteomyelitis: A Challenging Diagnosis and Management With a Literature Review.,"This is a case of skull base osteomyelitis (SBO) caused by a rare fungal species, Scedosporium apiospermum. This is a clinical case report with a review of the literature. SBO is a potentially life-threatening infection of the temporal bone. The patient presented to our hospital with a two-month history of left otalgia, otorrhea and reduced hearing, after failed initial intravenous antibiotic therapy. Thorough examination and further investigation confirmed the diagnosis of SBO caused by a rare fungal species, S. apiospermum. The patient was subsequently started on a long-term course of antifungals which led to an improvement of symptoms. This case highlights the importance of early recognition and considering early antifungal treatment in patients with persistent otalgia and otorrhea, particularly in those who have failed to respond to intravenous antibiotics. Further research is needed to better understand the optimal timing and duration of antifungal therapy in these patients.","['Hussain SZM', 'Haq II', 'Arshad Z', 'Ekunola A', 'Das S']",2023,15,9,Cureus,"Hussain SZM, et al. Rare Cause of Skull Base Osteomyelitis: A Challenging Diagnosis and Management With a Literature Review. Rare Cause of Skull Base Osteomyelitis: A Challenging Diagnosis and Management With a Literature Review. 2023; 15:e45838. doi: 10.7759/cureus.45838",https://pubmed.ncbi.nlm.nih.gov/37881401/
37876706,Necrotizing Otitis Externa: A Proposal for Diagnostic and Therapeutic Approach.,,"['Costa MB', 'Onishi ET']",2023,27,4,Int Arch Otorhinolaryngol,Costa MB and Onishi ET. Necrotizing Otitis Externa: A Proposal for Diagnostic and Therapeutic Approach. Necrotizing Otitis Externa: A Proposal for Diagnostic and Therapeutic Approach. 2023; 27:e706-e712. doi: 10.1055/s-0042-1758719,https://pubmed.ncbi.nlm.nih.gov/37876706/
37828893,[Research progress of necrotizing otitis externa].,,"['Hu L', 'Gao X', 'Wang X', 'Xu J', 'Wang X']",2023,37,10,Lin Chuang Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,"Hu L, et al. [Research progress of necrotizing otitis externa]. [Research progress of necrotizing otitis externa]. 2023; 37:843-847;852. doi: 10.13201/j.issn.2096-7993.2023.10.017",https://pubmed.ncbi.nlm.nih.gov/37828893/
37822086,Clinical features and predictors for developing complications of external auditory canal foreign bodies: A review of 455 cases.,,"['Cho E', 'Park DS', 'Choi HG', 'Hong SK', 'Kim HJ', 'Lee HJ']",2023,,,Clin Otolaryngol,"Cho E, et al. Clinical features and predictors for developing complications of external auditory canal foreign bodies: A review of 455 cases. Clinical features and predictors for developing complications of external auditory canal foreign bodies: A review of 455 cases. 2023; (unknown volume):(unknown pages). doi: 10.1111/coa.14103",https://pubmed.ncbi.nlm.nih.gov/37822086/
37790263,Short- and long-term outcomes of subtotal ear canal ablation and lateral bulla osteotomy in French bulldogs.,"The objective of this retrospective study was to report the overall peri-operative complications and short- to long-term outcomes of subtotal ear canal ablation and lateral bulla osteotomy in French bulldogs with otitis media. Medical records from 2018 to 2021 were reviewed for preoperative neurological signs, surgical technique, postoperative complications, and long-term outcomes. Postoperative complications, such as a head tilt, nystagmus, ataxia, facial nerve dysfunction, as well as skin or wound infection, were recorded. Eighteen client-owned dogs (20 ears) were included in the study. Postoperative complications were observed in 5/18 dogs (6/20 ears) with 2 of them being considered major complications. Referring veterinarians and owner telephone follow-up (mean: 33 mo, range: 17 to 56 mo) were obtained for all patients. Total recovery was reported in 9/18 dogs (11/20 ears) with a postoperative improvement of the vestibular signs and facial nerve paresis within 8 wk. All dogs maintained the pinnas' natural, erect morphology, and movement.","['Aranda-Jiménez F', 'Martin-Bernal C', 'Hernández-León D', 'Fontalba-Navas JL', 'Calvo I']",2023,87,4,Can J Vet Res,"Aranda-Jiménez F, et al. Short- and long-term outcomes of subtotal ear canal ablation and lateral bulla osteotomy in French bulldogs. Short- and long-term outcomes of subtotal ear canal ablation and lateral bulla osteotomy in French bulldogs. 2023; 87:277-281.",https://pubmed.ncbi.nlm.nih.gov/37790263/
37767726,A Systematic Review of Antimicrobial Treatment Regimens and their Outcomes in Necrotising Otitis Externa.,,"['Lodhi S', 'Timms S', 'Stapleton E']",2023,,,J Laryngol Otol,"Lodhi S, et al. A Systematic Review of Antimicrobial Treatment Regimens and their Outcomes in Necrotising Otitis Externa. A Systematic Review of Antimicrobial Treatment Regimens and their Outcomes in Necrotising Otitis Externa. 2023; (unknown volume):1-44. doi: 10.1017/S0022215123001664",https://pubmed.ncbi.nlm.nih.gov/37767726/
37736475,Are artificial intelligence large language models a reliable tool for difficult differential diagnosis? An a posteriori analysis of a peculiar case of necrotizing otitis externa.,"KEY CLINICAL MESSAGE: Large language models have made artificial intelligence readily available to the general public and potentially have a role in healthcare; however, their use in difficult differential diagnosis is still limited, as demonstrated by a case of necrotizing otitis externa.
ABSTRACT: This case report presents a peculiar case of necrotizing otitis externa (NOE) with skull base involvement which proved diagnostically challenging. The initial patient presentation and the imaging performed on the 78-year-old patient suggested a neoplastic rhinopharyngeal lesion and only after several unsuccessful biopsies the patient was transferred to our unit. Upon re-evaluation of the clinical picture, a clinical hypothesis of NOE with skull base erosion was made and confirmed by identifying ","['Pugliese G', 'Maccari A', 'Felisati E', 'Felisati G', 'Giudici L', 'Rapolla C', 'Pisani A', 'Saibene AM']",2023,11,9,Clin Case Rep,"Pugliese G, et al. Are artificial intelligence large language models a reliable tool for difficult differential diagnosis? An a posteriori analysis of a peculiar case of necrotizing otitis externa. Are artificial intelligence large language models a reliable tool for difficult differential diagnosis? An a posteriori analysis of a peculiar case of necrotizing otitis externa. 2023; 11:e7933. doi: 10.1002/ccr3.7933",https://pubmed.ncbi.nlm.nih.gov/37736475/
37731239,Retrospective evaluation of ceruminous gland tumors confined to the external ear canal of dogs and cats treated with biopsy and CO<sub>2</sub> laser ablation.,"BACKGROUND: Treatments currently available for ceruminous gland tumors include surgery and radiation therapy, which come with high financial costs and frequent complication and recurrence rates.
HYPOTHESIS: To evaluate the treatment, response, complication, and recurrence of ceruminous gland tumors confirmed with biopsy and ablated using CO
METHODS: Retrospective review of medical records from Iowa State University and the University of Illinois between January 1, 2016 and December 31, 2021. Electronic medical records were evaluated for a histopathologically confirmed ceruminous gland tumor via video-otoscopic aided biopsy and subsequent CO
RESULTS: Fourteen ceruminous gland adenomas (4 dogs, 10 cats) and 12 ceruminous gland adenocarcinomas (7 dogs, 5 cats) were identified. Bacterial otitis externa was present in 4/26 (15%) animals. Recurrence was identified in 1/14 (7%) ceruminous gland adenomas and 1/12 (8%) ceruminous gland adenocarcinomas.
CONCLUSIONS AND CLINICAL IMPORTANCE: Video-otoscopic aided biopsy and CO","['Pieper JB', 'Noxon JO', 'Berger DJ']",2023,,,J Vet Intern Med,"Pieper JB, et al. Retrospective evaluation of ceruminous gland tumors confined to the external ear canal of dogs and cats treated with biopsy and CO<sub>2</sub> laser ablation. Retrospective evaluation of ceruminous gland tumors confined to the external ear canal of dogs and cats treated with biopsy and CO<sub>2</sub> laser ablation. 2023; (unknown volume):(unknown pages). doi: 10.1111/jvim.16873",https://pubmed.ncbi.nlm.nih.gov/37731239/
