pmid,Title,Abstract,Author,Year,Volume,Issue,Journal,Citation,Link
37692062,Prevalence and Antimicrobial-Resistant Features of Shigella Species in East Africa from 2015-2022: A Systematic Review and Meta-Analysis.,"BACKGROUND: Shigellosis is the most common cause of epidemic dysentery found worldwide, particularly in developing countries, where it causes infant diarrhea and mortality. The prevalence of 
METHODS: Studies were identified using a computerized search of Medline/PubMed, Google Scholar, and Web of Science databases, with a detailed search strategy and cross-checking of reference lists for studies published between 2015 and 2022. Articles presenting data on prevalence and AMR, accessibility of the full-length article, and publication dates between 2015 and 2022 were the eligibility criteria for inclusion in the review. Original research reports written in English were considered. The heterogeneities of the studies were examined, and a meta-analysis was performed to estimate the pooled prevalence and AMR using a random effects model.
RESULTS: The pooled prevalence of 
CONCLUSION: The pooled estimate indicates high burden of ","['Ayele B', 'Beyene G', 'Alemayehu M', 'Dekebo A', 'Mekonnen Z', 'Nigussie G']",2023,2023,,Interdiscip Perspect Infect Dis,"Ayele B, et al. Prevalence and Antimicrobial-Resistant Features of Shigella Species in East Africa from 2015-2022: A Systematic Review and Meta-Analysis. Prevalence and Antimicrobial-Resistant Features of Shigella Species in East Africa from 2015-2022: A Systematic Review and Meta-Analysis. 2023; 2023:8277976. doi: 10.1155/2023/8277976",https://pubmed.ncbi.nlm.nih.gov/37692062/
37679798,Production of highly immunogenic and safe Triton X-100 produced bacterial ghost vaccine against Shigella flexneri 2b serotype.,"BACKGROUND: Bacterial ghost cells (BGCs) are cells were drained of their genetic and cytoplasmic components. This work aimed to develop vaccine candidates against the Shigella flexneri (S. flexneri) 2b serotype using the BGCs approach. For the first time, (S. flexneri) 2b serotype BGCs vaccine was prepared by incubation with Triton X-100 (TX100) for only 12 h. Its safety and immunogenicity were compared to another vaccine produced using a previously used surfactant, namely Tween 80 (TW80). Scanning electron microscopy (SEM), cellular DNA, protein contents measurements, and ghost cell re-cultivation were used to confirm the successful generation of the BGCs. Immunogenicity was assessed through mice's intraperitoneal (IP) immunization followed by infection with S. flexneri ATCC 12022. Finally, histopathological examination was carried out.
RESULTS: Viable colony forming units (CFUs) of S. flexneri were counted from stool samples as well as homogenized colon tissues of the non-immunized challenged group. Immunized mice sera showed a significant increase in serum bactericidal activity of both preparations (TX100 = 40% and TW80 = 56%) compared to the non-immunized challenged group (positive control). The IgG levels of the bacterial ghost-vaccinated groups were four and three times greater for the TX100 and TW80 ghost vaccines, respectively, compared to that of the positive control; both bacterial ghost vaccines (BGVs) were safe and effective, according to the results of the safety check tests and histopathological analysis.
CONCLUSIONS: When comparing the BGVs prepared using TX100 and TW80 methods, the use of TX100 as a new chemical treating agent for BGC production attained robust results in terms of shorter incubation time with the targeted cells and a strong immune response against S. flexneri 2b serotype ATCC 12022 in the IP challenge test. However, a clinical study is needed to confirm the efficacy and total safety of this novel vaccine.","['Abdelfattah A', 'Samir R', 'Amin HM']",2023,15,1,Gut Pathog,"Abdelfattah A, et al. Production of highly immunogenic and safe Triton X-100 produced bacterial ghost vaccine against Shigella flexneri 2b serotype. Production of highly immunogenic and safe Triton X-100 produced bacterial ghost vaccine against Shigella flexneri 2b serotype. 2023; 15:41. doi: 10.1186/s13099-023-00568-7",https://pubmed.ncbi.nlm.nih.gov/37679798/
37670042,A next-generation GMMA-based vaccine candidate to fight shigellosis.,"Shigellosis is a leading cause of diarrheal disease in low-middle-income countries (LMICs). Effective vaccines will help to reduce the disease burden, exacerbated by increasing antibiotic resistance, in the most susceptible population represented by young children. A challenge for a broadly protective vaccine against shigellosis is to cover the most epidemiologically relevant serotypes among >50 Shigella serotypes circulating worldwide. The GMMA platform has been proposed as an innovative delivery system for Shigella O-antigens, and we have developed a 4-component vaccine against S. sonnei, S. flexneri 1b, 2a and 3a identified among the most prevalent Shigella serotypes in LMICs. Driven by the immunogenicity results obtained in clinic with a first-generation mono-component vaccine, a new S. sonnei GMMA construct was generated and combined with three S. flexneri GMMA in a 4-component Alhydrogel formulation (altSonflex1-2-3). This formulation was highly immunogenic, with no evidence of negative antigenic interference in mice and rabbits. The vaccine induced bactericidal antibodies also against heterologous Shigella strains carrying O-antigens different from those included in the vaccine. The Monocyte Activation Test used to evaluate the potential reactogenicity of the vaccine formulation revealed no differences compared to the S. sonnei mono-component vaccine, shown to be safe in several clinical trials in adults. A GLP toxicology study in rabbits confirmed that the vaccine was well tolerated. The preclinical study results support the clinical evaluation of altSonflex1-2-3 in healthy populations, and a phase 1-2 clinical trial is currently ongoing.","['Rossi O', 'Citiulo F', 'Giannelli C', 'Cappelletti E', 'Gasperini G', 'Mancini F', 'Acquaviva A', 'Raso MM', 'Sollai L', 'Alfini R', 'Aruta MG', 'Vitali CG', 'Pizza M', 'Necchi F', 'Rappuoli R', 'Martin LB', 'Berlanda Scorza F', 'Colucci AM', 'Micoli F']",2023,8,1,NPJ Vaccines,"Rossi O, et al. A next-generation GMMA-based vaccine candidate to fight shigellosis. A next-generation GMMA-based vaccine candidate to fight shigellosis. 2023; 8:130. doi: 10.1038/s41541-023-00725-8",https://pubmed.ncbi.nlm.nih.gov/37670042/
37600752,"Antimicrobial Susceptibility Patterns of Shigella Species among Children under Five Years of Age with Diarrhea in Selected Health Centers, Addis Ababa, Ethiopia.","BACKGROUND: None
OBJECTIVE: This study aimed to characterize the antimicrobial features of the 
METHODS: Using a cross-sectional study, freshly passed fecal specimens were collected for intestinal parasite and bacterial isolation. Fecal samples for bacterial identification were placed immediately in Cary-Blair media and transported to the Ethiopian Public Health Institution (EPHI) laboratory. Antimicrobial susceptibility testing (AMST) was conducted using the disk diffusion method. Data were described using descriptive statistical tools. The association of independent and dependent variables was evaluated with logistic regression. A 
RESULTS: The prevalence of intestinal parasites was 8.2% with seven different species. Among the 534 stool-cultured specimens, 47 (8.8%) were positive for 
CONCLUSION: The high levels of antibiotic resistance observed among the commonly prescribed antibiotics are alarming. The emerging resistance to ciprofloxacin and nalidixic acid signals a severe public health threat in the management of shigellosis. Raising awareness about resistance and educating health professionals, policymakers, and the public can help improve the quality of patient care and rational antibiotic use.","['Ayele B', 'Mekonnen Z', 'Sisay Tessema T', 'Adamu E', 'Tsige E', 'Beyene G']",2023,2023,,Can J Infect Dis Med Microbiol,"Ayele B, et al. Antimicrobial Susceptibility Patterns of Shigella Species among Children under Five Years of Age with Diarrhea in Selected Health Centers, Addis Ababa, Ethiopia. Antimicrobial Susceptibility Patterns of Shigella Species among Children under Five Years of Age with Diarrhea in Selected Health Centers, Addis Ababa, Ethiopia. 2023; 2023:5379881. doi: 10.1155/2023/5379881",https://pubmed.ncbi.nlm.nih.gov/37600752/
37580399,"Diffusible signal factors (DSFs) bind and repress VirF, the leading virulence activator of Shigella flexneri.","Shigella, the aetiological agent of human bacillary dysentery, controls the expression of its virulence determinants through an environmentally stimulated cascade of transcriptional activators. VirF is the leading activator and is essential for proper virulence expression. In this work, we report on in vitro and in vivo experiments showing that two autoinducers of the DSF family, XcDSF and BDSF interact with the jelly roll module of VirF causing its inhibition and affecting the expression of the entire virulence system of Shigella, including its ability to invade epithelial cells. We propose a molecular model explaining how the binding of XcDSF and BDSF causes inhibition of VirF by preventing its dimerization. Overall, our experimental results suggest that XcDSF and BDSF may contribute to ""colonisation resistance"" in the human gut or, alternatively, may be exploited for the fine-tuning of Shigella virulence expression as the bacterium migrates from the lumen to approach the intestinal mucosa. Our findings also stress how a detailed understanding of the interaction of DSF ligands with VirF may contribute to the rational development of innovative antivirulence drugs to treat shigellosis.","['Trirocco R', 'Pasqua M', 'Tramonti A', 'Colonna B', 'Paiardini A', 'Prosseda G']",2023,13,1,Sci Rep,"Trirocco R, et al. Diffusible signal factors (DSFs) bind and repress VirF, the leading virulence activator of Shigella flexneri. Diffusible signal factors (DSFs) bind and repress VirF, the leading virulence activator of Shigella flexneri. 2023; 13:13170. doi: 10.1038/s41598-023-40023-w",https://pubmed.ncbi.nlm.nih.gov/37580399/
37565760,Novel inhibitors that target bacterial virulence identified via HTS against intra-macrophage survival of Shigella flexneri.,,"['Miljkovic M', 'Lozano S', 'Castellote I', 'de Cózar C', 'Villegas-Moreno AI', 'Gamallo P', 'Jimenez-Alfaro Martinez D', 'Fernández-Álvaro E', 'Ballell L', 'Garcia GA']",2023,,,mSphere,"Miljkovic M, et al. Novel inhibitors that target bacterial virulence identified via HTS against intra-macrophage survival of Shigella flexneri. Novel inhibitors that target bacterial virulence identified via HTS against intra-macrophage survival of Shigella flexneri. 2023; (unknown volume):e0015423. doi: 10.1128/msphere.00154-23",https://pubmed.ncbi.nlm.nih.gov/37565760/
37494550,Shigella flexneri Adapts to Niche-Specific Stresses through Modifications in Cell Envelope Composition and Decoration.,,"['Ascari A', 'Waters JK', 'Morona R', 'Eijkelkamp BA']",2023,9,8,ACS Infect Dis,"Ascari A, et al. Shigella flexneri Adapts to Niche-Specific Stresses through Modifications in Cell Envelope Composition and Decoration. Shigella flexneri Adapts to Niche-Specific Stresses through Modifications in Cell Envelope Composition and Decoration. 2023; 9:1610-1621. doi: 10.1021/acsinfecdis.3c00210",https://pubmed.ncbi.nlm.nih.gov/37494550/
37486309,"Multidrug-Resistant Shigella sonnei Bacteremia among Persons Experiencing Homelessness, Vancouver, British Columbia, Canada.","Increased invasive bloodstream infections caused by multidrug resistant Shigella sonnei were noted in Vancouver, British Columbia, Canada, during 2021-2023. Whole-genome sequencing revealed clonal transmission of genotype 3.6.1.1.2 (CipR.MSM5) among persons experiencing homelessness. Improvements in identifying Shigella species, expanding treatment options for multidrug resistant infections, and developing public health partnerships are needed.","['Stefanovic A', 'Matic N', 'Ritchie G', 'Lowe CF', 'Leung V', 'Hull M', 'Alam M', 'Dawar M', 'Champagne S', 'Romney MG']",2023,29,8,Emerg Infect Dis,"Stefanovic A, et al. Multidrug-Resistant Shigella sonnei Bacteremia among Persons Experiencing Homelessness, Vancouver, British Columbia, Canada. Multidrug-Resistant Shigella sonnei Bacteremia among Persons Experiencing Homelessness, Vancouver, British Columbia, Canada. 2023; 29:1668-1671. doi: 10.3201/eid2908.230323",https://pubmed.ncbi.nlm.nih.gov/37486309/
37486233,,,,,,,,,
37461575,Increasing trend of antibiotic resistance in Shigella in Bangladesh: a plasmid-mediated transfer of mphA macrolide resistance gene.,"Shigellosis remains a common gastrointestinal disease mostly in children <5 years of age in developing countries. Azithromycin (AZM), a macrolide, is currently the first-line treatment for shigellosis in Bangladesh; ciprofloxacin (CIP) and ceftriaxone (CRO) are also used frequently. We aimed to evaluate the current epidemiology of antimicrobial resistance (AMR) and mechanism(s) of increasing macrolide resistance in ","['Asad A', 'Jahan I', 'Munni MA', 'Begum R', 'Mukta MA', 'Saif K', 'Faruque SN', 'Hayat S', 'Islam Z']",2023,,,Res Sq,"Asad A, et al. Increasing trend of antibiotic resistance in Shigella in Bangladesh: a plasmid-mediated transfer of mphA macrolide resistance gene. Increasing trend of antibiotic resistance in Shigella in Bangladesh: a plasmid-mediated transfer of mphA macrolide resistance gene. 2023; (unknown volume):(unknown pages). doi: 10.21203/rs.3.rs-3080386/v1",https://pubmed.ncbi.nlm.nih.gov/37461575/
37430909,Antibacterial Activity and Mechanism of Linalool against Shigella sonnei and Its Application in Lettuce.,,"['Su R', 'Guo P', 'Zhang Z', 'Wang J', 'Guo X', 'Guo D', 'Wang Y', 'Lü X', 'Shi C']",2022,11,20,Foods,"Su R, et al. Antibacterial Activity and Mechanism of Linalool against Shigella sonnei and Its Application in Lettuce. Antibacterial Activity and Mechanism of Linalool against Shigella sonnei and Its Application in Lettuce. 2022; 11:(unknown pages). doi: 10.3390/foods11203160",https://pubmed.ncbi.nlm.nih.gov/37430909/
37424561,,,,,,,,,
37406691,Phthalate acid esters promoted the enrichment of chlorine dioxide-resistant bacteria and their functions related to human diseases in rural polyvinyl chloride distribution pipes.,"Polyvinyl chloride (PVC) pipes are widely used as drinking water distribution pipes in rural areas of China. However, whether phthalate acid esters (PAEs) released from PVC pipes will affect tap water quality is still unknown. The influence of released PAEs on the water quality was analysed in this study, especially after ClO","['Wang M', 'Wang H', 'Hu C', 'Deng J', 'Shi B']",2023,896,,Sci Total Environ,"Wang M, et al. Phthalate acid esters promoted the enrichment of chlorine dioxide-resistant bacteria and their functions related to human diseases in rural polyvinyl chloride distribution pipes. Phthalate acid esters promoted the enrichment of chlorine dioxide-resistant bacteria and their functions related to human diseases in rural polyvinyl chloride distribution pipes. 2023; 896:165282. doi: 10.1016/j.scitotenv.2023.165282",https://pubmed.ncbi.nlm.nih.gov/37406691/
37400283,Development of Shigella conjugate vaccines targeting Shigella flexneri 2a and S. flexneri 3a using a simple platform-approach conjugation by squaric acid chemistry.,"There is a need for vaccines effective against shigella infection in young children in resource-limited areas. Protective immunity against shigella infection targets the O-specific polysaccharide (OSP) component of lipopolysaccharide. Inducing immune responses to polysaccharides in young children can be problematic, but high level and durable responses can be induced by presenting polysaccharides conjugated to carrier proteins. An effective shigella vaccine will need to be multivalent, targeting the most common global species and serotypes such as Shigella flexneri 2a, S. flexneri 3a, S. flexneri 6, and S. sonnei. Here we report the development of shigella conjugate vaccines (SCV) targeting S. flexneri 2a (SCV-Sf2a) and 3a (SCV-Sf3a) using squaric acid chemistry to result in single point sun-burst type display of OSP from carrier protein rTTHc, a 52 kDa recombinant protein fragment of the heavy chain of tetanus toxoid. We confirmed structure and demonstrated that these conjugates were recognized by serotype-specific monoclonal antibodies and convalescent sera of humans recovering from shigellosis in Bangladesh, suggesting correct immunological display of OSP. We vaccinated mice and found induction of serotype-specific OSP and LPS IgG responses, as well as rTTHc-specific IgG responses. Vaccination induced serotype-specific bactericidal antibody responses against S. flexneri, and vaccinated animals were protected against keratoconjunctivitis (Sereny test) and intraperitoneal challenge with virulent S. flexneri 2a and 3a, respectively. Our results support further development of this platform conjugation technology in the development of shigella conjugate vaccines for use in resource-limited settings.","['Kelly M', 'Mandlik A', 'Charles RC', 'Verma S', 'Calderwood SB', 'Leung DT', 'Biswas R', 'Islam K', 'Kamruzzaman M', 'Chowdhury F', 'Khanam F', 'Vann WF', 'Khan AI', 'Bhuiyan TR', 'Qadri F', 'Vortherms AR', 'Kaminski R', 'Kováč P', 'Xu P', 'Ryan ET']",2023,41,34,Vaccine,"Kelly M, et al. Development of Shigella conjugate vaccines targeting Shigella flexneri 2a and S. flexneri 3a using a simple platform-approach conjugation by squaric acid chemistry. Development of Shigella conjugate vaccines targeting Shigella flexneri 2a and S. flexneri 3a using a simple platform-approach conjugation by squaric acid chemistry. 2023; 41:4967-4977. doi: 10.1016/j.vaccine.2023.06.052",https://pubmed.ncbi.nlm.nih.gov/37400283/
37343896,Capsaicin derived from endemic chili landraces combats Shigella pathogen: Insights on intracellular inhibition mechanism.,"Ethnic tribals in northeast India have been growing and maintaining local chili landraces for ages. These chilies are known for their characteristic pungency and immense therapeutic properties. Capsaicin, a significant chili metabolite, is recognized as a natural drug for pain relief, diabetic neuropathy, psoriasis, arthritis, etc. In this study, we tried to observe the influence of locality factors on the pungency and bioactive features of Capsicum annuum L. landraces. We also checked the gastro-protective ability of these chilies, especially in the cure of shigellosis. Phytometabolite characterization and estimation were done through spectrophotometric methods. Preparative and analytical HPLC techniques were employed for extracting and purifying capsaicin-enriched fractions. Shigella flexneri growth retardation was determined through the broth dilution method. Gentamicin protection assay and ELISA were done to assess the intracellular invasion and IL-1β inflammasome production by S.flexneri. The correlation analyses postulated that phenols, flavonoids, chlorophylls, β-carotene, and capsaicin synthase upregulation strongly influenced capsaicin biosynthesis in chili cultivars. Correspondingly, the inhibitory efficacy of the HPLC-purified Balijuri-derived capsaicin was more effective than the Raja-derived capsaicin in inhibiting intracellular Shigella growth. Reduced levels of pro-inflammatory cytokine (IL1β) in capsaicin-treated Shigella-infected cells probably reduced inflammation-mediated intestinal damage, limiting bacterial spread. This investigation advocates the unique potential of local chilies in curing deadly 'shigellosis' with mechanistic evidence. Our observation justifies the traditional healing practices of the ethnic people of NE India.","['Das S', 'Priyadarshani N', 'Basak P', 'Maitra P', 'Bhattacharya S', 'Bhattacharya SS']",2023,181,,Microb Pathog,"Das S, et al. Capsaicin derived from endemic chili landraces combats Shigella pathogen: Insights on intracellular inhibition mechanism. Capsaicin derived from endemic chili landraces combats Shigella pathogen: Insights on intracellular inhibition mechanism. 2023; 181:106210. doi: 10.1016/j.micpath.2023.106210",https://pubmed.ncbi.nlm.nih.gov/37343896/
37342516,The Biosafety Research Road Map: The Search for Evidence to Support Practices in the Laboratory-Shigella spp.,"INTRODUCTION: None
METHODS: In this review, the general characteristics of 
RESULTS: LAIs are undoubtedly under-reported. Owing to the low infectious dose, rigorous biosafety level 2 practices are required to prevent LAIs resulting from sample manipulation or contact with infected surfaces.
CONCLUSIONS: It is recommended that, before laboratory work with ","['Blacksell SD', 'Dhawan S', 'Kusumoto M', 'Le KK', 'Davis BJ', 'Summermatter K', ""O'Keefe J"", 'Kozlovac J', 'Almuhairi SS', 'Sendow I', 'Scheel CM', 'Ahumibe A', 'Masuku ZM', 'Bennett AM', 'Kojima K', 'Harper DR', 'Hamilton K']",2023,28,2,Appl Biosaf,"Blacksell SD, et al. The Biosafety Research Road Map: The Search for Evidence to Support Practices in the Laboratory-Shigella spp. The Biosafety Research Road Map: The Search for Evidence to Support Practices in the Laboratory-Shigella spp. 2023; 28:96-101. doi: 10.1089/apb.2022.0046",https://pubmed.ncbi.nlm.nih.gov/37342516/
37319254,,,,,,,,,
37293012,"VirB, a key transcriptional regulator of Shigella virulence, requires a CTP ligand for its regulatory activities.","UNLABELLED: The VirB protein, encoded by the large virulence plasmid of 
IMPORTANCE: None","['Gerson TM', 'Ott AM', 'Karney MM', 'Socea JN', 'Ginete DR', 'Iyer LM', 'Aravind L', 'Gary RK', 'Wing HJ']",2023,,,bioRxiv,"Gerson TM, et al. VirB, a key transcriptional regulator of Shigella virulence, requires a CTP ligand for its regulatory activities. VirB, a key transcriptional regulator of Shigella virulence, requires a CTP ligand for its regulatory activities. 2023; (unknown volume):(unknown pages). doi: 10.1101/2023.05.16.541010",https://pubmed.ncbi.nlm.nih.gov/37293012/
37260708,Functional assays to evaluate antibody-mediated responses against Shigella: a review.,,"['Boero E', 'Vezzani G', 'Micoli F', 'Pizza M', 'Rossi O']",2023,13,,Front Cell Infect Microbiol,"Boero E, et al. Functional assays to evaluate antibody-mediated responses against Shigella: a review. Functional assays to evaluate antibody-mediated responses against Shigella: a review. 2023; 13:1171213. doi: 10.3389/fcimb.2023.1171213",https://pubmed.ncbi.nlm.nih.gov/37260708/
37255425,,,,,,,,,
37255304,,,,,,,,,
37249442,"Concordance between Genotypic and Phenotypic Drug-Resistant Profiles of Shigella Isolates from Taiyuan City, Shanxi Province, China, 2005 to 2016.",Antimicrobial resistance in ,"['Kong M', 'Liu C', 'Xu Y', 'Wang J', 'Jin D']",2023,11,3,Microbiol Spectr,"Kong M, et al. Concordance between Genotypic and Phenotypic Drug-Resistant Profiles of Shigella Isolates from Taiyuan City, Shanxi Province, China, 2005 to 2016. Concordance between Genotypic and Phenotypic Drug-Resistant Profiles of Shigella Isolates from Taiyuan City, Shanxi Province, China, 2005 to 2016. 2023; 11:e0011923. doi: 10.1128/spectrum.00119-23",https://pubmed.ncbi.nlm.nih.gov/37249442/
37244596,"Comments on ""Shigellosis in Southeast Asia: A systematic review and meta-analysis"".",,"['Gandhi AP', 'Satapathy P', 'Rustagi S', 'Hermis AH', 'Sah R', 'Padhi BK']",2023,54,,Travel Med Infect Dis,"Gandhi AP, et al. Comments on ""Shigellosis in Southeast Asia: A systematic review and meta-analysis"". Comments on ""Shigellosis in Southeast Asia: A systematic review and meta-analysis"". 2023; 54:102593. doi: 10.1016/j.tmaid.2023.102593",https://pubmed.ncbi.nlm.nih.gov/37244596/
37238693,Role of the MDR Efflux Pump AcrAB in Epithelial Cell Invasion by Shigella flexneri.,The tripartite complex AcrAB-TolC is the major RND pump in ,"['Coluccia M', 'Béranger A', 'Trirocco R', 'Fanelli G', 'Zanzi F', 'Colonna B', 'Grossi M', 'Prosseda G', 'Pasqua M']",2023,13,5,Biomolecules,"Coluccia M, et al. Role of the MDR Efflux Pump AcrAB in Epithelial Cell Invasion by Shigella flexneri. Role of the MDR Efflux Pump AcrAB in Epithelial Cell Invasion by Shigella flexneri. 2023; 13:(unknown pages). doi: 10.3390/biom13050823",https://pubmed.ncbi.nlm.nih.gov/37238693/
37237720,"Prevalence of Antibiotic-Resistant Shigella spp. in Bangladesh: A Systematic Review and Meta-Analysis of 44,519 Samples.","Shigella is the leading global etiological agent of shigellosis, especially in poor and underdeveloped or developing nations with insufficient sanitation such as Bangladesh. Antibiotics are the only treatment option for the shigellosis caused by ","['Ahmed S', 'Chowdhury MIH', 'Sultana S', 'Alam SS', 'Marzan M', 'Islam MA']",2023,12,5,Antibiotics (Basel),"Ahmed S, et al. Prevalence of Antibiotic-Resistant Shigella spp. in Bangladesh: A Systematic Review and Meta-Analysis of 44,519 Samples. Prevalence of Antibiotic-Resistant Shigella spp. in Bangladesh: A Systematic Review and Meta-Analysis of 44,519 Samples. 2023; 12:(unknown pages). doi: 10.3390/antibiotics12050817",https://pubmed.ncbi.nlm.nih.gov/37237720/
37205407,Shigella O-specific polysaccharide functional IgA responses mediate protection against shigella infection in an endemic high-burden setting.,"Shigella is the second leading cause of diarrheal disease-related death in young children in low and middle income countries. The mechanism of protection against shigella infection and disease in endemic areas is uncertain. While historically LPS-specific IgG titers have been associated with protection in endemic settings, emerging deeper immune approaches have recently elucidated a protective role for IpaB-specific antibody responses in a controlled human challenge model in North American volunteers. To deeply interrogate potential correlates of immunity in areas endemic for shigellosis, here we applied a systems approach to analyze the serological response to shigella across endemic and non-endemic populations. Additionally, we analyzed shigella-specific antibody responses over time in the context of endemic resistance or breakthrough infections in a high shigella burden location. Individuals with endemic exposure to shigella possessed broad and functional antibody responses across both glycolipid and protein antigens compared to individuals from non-endemic regions. In high shigella burden settings, elevated levels of OSP-specific FcαR binding antibodies were associated with resistance to shigellosis. OSP-specific FcαR binding IgA found in resistant individuals activated bactericidal neutrophil functions including phagocytosis, degranulation and reactive oxygen species production. Moreover, IgA depletion from resistant serum significantly reduced binding of OSP-specific antibodies to FcαR and antibody mediated activation of neutrophils and monocytes. Overall, our findings suggest that OSP-specific functional IgA responses contribute to protective immunity against shigella infection in high-burden settings. These findings will assist in the development and evaluation of shigella vaccines.","['Bernshtein B', 'Kelly M', 'Cizmeci D', 'Zhiteneva JA', 'Macvicar R', 'Kamruzzaman M', 'Bhuiyan TR', 'Chowdhury F', 'Khan AI', 'Qadri F', 'Charles RC', 'Xu P', 'Kováč P', 'Kaminski RW', 'Alter G', 'Ryan ET']",2023,,,bioRxiv,"Bernshtein B, et al. Shigella O-specific polysaccharide functional IgA responses mediate protection against shigella infection in an endemic high-burden setting. Shigella O-specific polysaccharide functional IgA responses mediate protection against shigella infection in an endemic high-burden setting. 2023; (unknown volume):(unknown pages). doi: 10.1101/2023.05.04.539451",https://pubmed.ncbi.nlm.nih.gov/37205407/
37204919,,,,,,,,,
